feature,feature_category,categorical_family,train_present,test_present,dtype_train,dtype_test
REG_CITY_NOT_WORK_CITY,binary_flag,binary_flag,True,True,int8,int8
REG_REGION_NOT_LIVE_REGION,binary_flag,binary_flag,True,True,int8,int8
REG_REGION_NOT_WORK_REGION,binary_flag,binary_flag,True,True,int8,int8
bureau_bad_debt_count,binary_flag,binary_flag,True,True,float32,float32
bureau_latest_credit_active_flag,binary_flag,binary_flag,True,True,float32,float32
bureau_latest_credit_closed_flag,binary_flag,binary_flag,True,True,float32,float32
bureau_latest_type_business_loan_flag,binary_flag,binary_flag,True,True,float32,float32
bureau_latest_type_car_loan_flag,binary_flag,binary_flag,True,True,float32,float32
bureau_latest_type_consumer_credit_flag,binary_flag,binary_flag,True,True,float32,float32
bureau_latest_type_credit_card_flag,binary_flag,binary_flag,True,True,float32,float32
bureau_latest_type_microloan_flag,binary_flag,binary_flag,True,True,float32,float32
bureau_latest_type_mortgage_flag,binary_flag,binary_flag,True,True,float32,float32
bureau_latest_type_working_capital_loan_flag,binary_flag,binary_flag,True,True,float32,float32
cc_contract_with_dpd_30plus_count,binary_flag,binary_flag,True,True,float32,float32
cc_contract_with_dpd_60plus_count,binary_flag,binary_flag,True,True,float32,float32
cc_contract_with_dpd_90plus_count,binary_flag,binary_flag,True,True,float32,float32
cc_contract_with_dpd_def_30plus_count,binary_flag,binary_flag,True,True,float32,float32
cc_contract_with_dpd_def_60plus_count,binary_flag,binary_flag,True,True,float32,float32
cc_contract_with_dpd_def_90plus_count,binary_flag,binary_flag,True,True,float32,float32
cc_latest_dpd_30plus_flag,binary_flag,binary_flag,True,True,float32,float32
cc_latest_dpd_60plus_flag,binary_flag,binary_flag,True,True,float32,float32
cc_latest_dpd_90plus_flag,binary_flag,binary_flag,True,True,float32,float32
cc_latest_has_atm_drawing_flag,binary_flag,binary_flag,True,True,float32,float32
cc_latest_has_dpd,binary_flag,binary_flag,True,True,float32,float32
cc_latest_has_dpd_def,binary_flag,binary_flag,True,True,float32,float32
cc_latest_has_dpd_def_max,binary_flag,binary_flag,True,True,float32,float32
cc_latest_has_dpd_def_min,binary_flag,binary_flag,True,True,float32,float32
cc_latest_has_dpd_def_sum,binary_flag,binary_flag,True,True,float32,float32
cc_latest_has_dpd_max,binary_flag,binary_flag,True,True,float32,float32
cc_latest_has_dpd_min,binary_flag,binary_flag,True,True,float32,float32
cc_latest_has_dpd_sum,binary_flag,binary_flag,True,True,float32,float32
cc_latest_has_drawing_flag,binary_flag,binary_flag,True,True,float32,float32
cc_latest_has_pos_drawing_flag,binary_flag,binary_flag,True,True,float32,float32
cc_latest_high_utilization_100plus_flag,binary_flag,binary_flag,True,True,float32,float32
cc_latest_high_utilization_80plus_flag,binary_flag,binary_flag,True,True,float32,float32
cc_latest_high_utilization_80plus_flag_max,binary_flag,binary_flag,True,True,float32,float32
cc_latest_high_utilization_80plus_flag_min,binary_flag,binary_flag,True,True,float32,float32
cc_latest_invalid_credit_limit_flag,binary_flag,binary_flag,True,True,float32,float32
cc_latest_no_payment_with_balance_flag,binary_flag,binary_flag,True,True,float32,float32
cc_latest_no_payment_with_balance_flag_max,binary_flag,binary_flag,True,True,float32,float32
cc_latest_no_payment_with_balance_flag_min,binary_flag,binary_flag,True,True,float32,float32
cc_latest_over_limit_flag,binary_flag,binary_flag,True,True,float32,float32
cc_latest_payment_less_than_min_flag,binary_flag,binary_flag,True,True,float32,float32
cc_latest_payment_less_than_min_flag_max,binary_flag,binary_flag,True,True,float32,float32
cc_latest_payment_less_than_min_flag_min,binary_flag,binary_flag,True,True,float32,float32
cc_latest_status_active_flag,binary_flag,binary_flag,True,True,float32,float32
cc_latest_status_active_flag_max,binary_flag,binary_flag,True,True,float32,float32
cc_latest_status_active_flag_min,binary_flag,binary_flag,True,True,float32,float32
cc_latest_status_approved_flag,binary_flag,binary_flag,True,True,float32,float32
cc_latest_status_canceled_flag,binary_flag,binary_flag,True,True,float32,float32
cc_latest_status_completed_flag,binary_flag,binary_flag,True,True,float32,float32
cc_latest_status_completed_flag_max,binary_flag,binary_flag,True,True,float32,float32
cc_latest_status_completed_flag_min,binary_flag,binary_flag,True,True,float32,float32
cc_latest_status_demand_flag,binary_flag,binary_flag,True,True,float32,float32
cc_latest_status_refused_flag,binary_flag,binary_flag,True,True,float32,float32
cc_latest_status_signed_flag,binary_flag,binary_flag,True,True,float32,float32
cc_limit_change_flag_max,binary_flag,binary_flag,True,True,float32,float32
cc_limit_change_flag_min,binary_flag,binary_flag,True,True,float32,float32
cc_missing_credit_limit_count_max,binary_flag,binary_flag,True,True,float32,float32
cc_missing_credit_limit_count_mean,binary_flag,binary_flag,True,True,float32,float32
cc_missing_credit_limit_count_sum,binary_flag,binary_flag,True,True,float32,float32
cc_status_approved_count_max,binary_flag,binary_flag,True,True,float32,float32
cc_status_approved_count_mean,binary_flag,binary_flag,True,True,float32,float32
cc_status_approved_count_sum,binary_flag,binary_flag,True,True,float32,float32
cc_status_canceled_count_max,binary_flag,binary_flag,True,True,float32,float32
cc_status_canceled_count_mean,binary_flag,binary_flag,True,True,float32,float32
cc_status_canceled_count_sum,binary_flag,binary_flag,True,True,float32,float32
cc_status_canceled_ratio_max,binary_flag,binary_flag,True,True,float32,float32
cc_status_canceled_ratio_mean,binary_flag,binary_flag,True,True,float32,float32
cc_status_canceled_ratio_min,binary_flag,binary_flag,True,True,float32,float32
cc_status_refused_count_max,binary_flag,binary_flag,True,True,float32,float32
cc_status_refused_count_mean,binary_flag,binary_flag,True,True,float32,float32
cc_status_refused_count_sum,binary_flag,binary_flag,True,True,float32,float32
cc_status_sent_proposal_count_max,binary_flag,binary_flag,True,True,float32,float32
cc_status_sent_proposal_count_sum,binary_flag,binary_flag,True,True,float32,float32
has_bureau_history,binary_flag,binary_flag,True,True,int8,int8
has_credit_card_history,binary_flag,binary_flag,True,True,int8,int8
has_installment_history,binary_flag,binary_flag,True,True,int8,int8
has_pos_cash_history,binary_flag,binary_flag,True,True,int8,int8
has_previous_application_history,binary_flag,binary_flag,True,True,int8,int8
inst_contract_with_due_day_shift_count,binary_flag,binary_flag,True,True,float32,float32
inst_has_due_day_shift_count_max,binary_flag,binary_flag,True,True,float32,float32
inst_has_due_day_shift_count_sum,binary_flag,binary_flag,True,True,float32,float32
inst_latest_amount_shift_flag,binary_flag,binary_flag,True,True,float32,float32
inst_latest_due_day_shift_flag,binary_flag,binary_flag,True,True,float32,float32
inst_latest_fully_paid_flag,binary_flag,binary_flag,True,True,float32,float32
inst_latest_fully_paid_flag_max,binary_flag,binary_flag,True,True,float32,float32
inst_latest_fully_paid_flag_min,binary_flag,binary_flag,True,True,float32,float32
inst_latest_late_15plus_flag,binary_flag,binary_flag,True,True,float32,float32
inst_latest_late_30plus_flag,binary_flag,binary_flag,True,True,float32,float32
inst_latest_late_30plus_flag_max,binary_flag,binary_flag,True,True,float32,float32
inst_latest_late_30plus_flag_min,binary_flag,binary_flag,True,True,float32,float32
inst_latest_late_5plus_flag,binary_flag,binary_flag,True,True,float32,float32
inst_latest_late_60plus_flag,binary_flag,binary_flag,True,True,float32,float32
inst_latest_late_90plus_flag,binary_flag,binary_flag,True,True,float32,float32
inst_latest_late_flag,binary_flag,binary_flag,True,True,float32,float32
inst_latest_late_flag_max,binary_flag,binary_flag,True,True,float32,float32
inst_latest_late_flag_min,binary_flag,binary_flag,True,True,float32,float32
inst_latest_multiple_payment_flag,binary_flag,binary_flag,True,True,float32,float32
inst_latest_multiple_payment_flag_max,binary_flag,binary_flag,True,True,float32,float32
inst_latest_multiple_payment_flag_min,binary_flag,binary_flag,True,True,float32,float32
inst_latest_overpaid_flag,binary_flag,binary_flag,True,True,float32,float32
inst_latest_overpaid_flag_max,binary_flag,binary_flag,True,True,float32,float32
inst_latest_overpaid_flag_min,binary_flag,binary_flag,True,True,float32,float32
inst_latest_underpaid_flag,binary_flag,binary_flag,True,True,float32,float32
inst_latest_underpaid_flag_max,binary_flag,binary_flag,True,True,float32,float32
inst_latest_underpaid_flag_min,binary_flag,binary_flag,True,True,float32,float32
inst_latest_version_change_flag,binary_flag,binary_flag,True,True,float32,float32
inst_latest_version_change_flag_max,binary_flag,binary_flag,True,True,float32,float32
inst_latest_version_change_flag_min,binary_flag,binary_flag,True,True,float32,float32
pos_instalment_change_flag_max,binary_flag,binary_flag,True,True,float32,float32
pos_instalment_change_flag_min,binary_flag,binary_flag,True,True,float32,float32
pos_latest_completed_by_future_flag,binary_flag,binary_flag,True,True,float32,float32
pos_latest_dpd_30plus_flag,binary_flag,binary_flag,True,True,float32,float32
pos_latest_dpd_60plus_flag,binary_flag,binary_flag,True,True,float32,float32
pos_latest_dpd_90plus_flag,binary_flag,binary_flag,True,True,float32,float32
pos_latest_has_dpd,binary_flag,binary_flag,True,True,float32,float32
pos_latest_has_dpd_def,binary_flag,binary_flag,True,True,float32,float32
pos_latest_has_future_installment_flag,binary_flag,binary_flag,True,True,float32,float32
pos_latest_near_completion_flag,binary_flag,binary_flag,True,True,float32,float32
pos_latest_status_active_flag,binary_flag,binary_flag,True,True,float32,float32
pos_latest_status_amortized_debt_flag,binary_flag,binary_flag,True,True,float32,float32
pos_latest_status_approved_flag,binary_flag,binary_flag,True,True,float32,float32
pos_latest_status_canceled_flag,binary_flag,binary_flag,True,True,float32,float32
pos_latest_status_completed_flag,binary_flag,binary_flag,True,True,float32,float32
pos_latest_status_demand_flag,binary_flag,binary_flag,True,True,float32,float32
pos_latest_status_returned_flag,binary_flag,binary_flag,True,True,float32,float32
pos_latest_status_signed_flag,binary_flag,binary_flag,True,True,float32,float32
pos_status_canceled_count_max,binary_flag,binary_flag,True,True,float32,float32
pos_status_canceled_count_sum,binary_flag,binary_flag,True,True,float32,float32
prev_latest_approved_flag,binary_flag,binary_flag,True,True,float32,float32
prev_latest_canceled_flag,binary_flag,binary_flag,True,True,float32,float32
prev_latest_cash_loan_flag,binary_flag,binary_flag,True,True,float32,float32
prev_latest_consumer_loan_flag,binary_flag,binary_flag,True,True,float32,float32
prev_latest_has_down_payment,binary_flag,binary_flag,True,True,float32,float32
prev_latest_has_interest_rate,binary_flag,binary_flag,True,True,float32,float32
prev_latest_insured_on_approval,binary_flag,binary_flag,True,True,float32,float32
prev_latest_last_appl_in_day,binary_flag,binary_flag,True,True,float32,float32
prev_latest_refused_flag,binary_flag,binary_flag,True,True,float32,float32
prev_latest_revolving_loan_flag,binary_flag,binary_flag,True,True,float32,float32
prev_latest_unused_offer_flag,binary_flag,binary_flag,True,True,float32,float32
EMERGENCYSTATE_MODE,categorical_binary,categorical_binary,True,True,category,category
FLAG_OWN_CAR,categorical_binary,categorical_binary,True,True,category,category
FLAG_OWN_REALTY,categorical_binary,categorical_binary,True,True,category,category
NAME_CONTRACT_TYPE,categorical_binary,categorical_binary,True,True,category,category
CODE_GENDER,categorical_nominal,nominal,True,True,category,category
FONDKAPREMONT_MODE,categorical_nominal,nominal,True,True,category,category
HOUSETYPE_MODE,categorical_nominal,nominal,True,True,category,category
NAME_FAMILY_STATUS,categorical_nominal,nominal,True,True,category,category
NAME_HOUSING_TYPE,categorical_nominal,nominal,True,True,category,category
NAME_INCOME_TYPE,categorical_nominal,nominal,True,True,category,category
NAME_TYPE_SUITE,categorical_nominal,nominal,True,True,category,category
OCCUPATION_TYPE,categorical_nominal,nominal,True,True,category,category
ORGANIZATION_TYPE,categorical_nominal,nominal,True,True,category,category
WALLSMATERIAL_MODE,categorical_nominal,nominal,True,True,category,category
NAME_EDUCATION_TYPE,categorical_ordinal,ordinal,True,True,category,category
REGION_RATING_CLIENT,categorical_ordinal,ordinal,True,True,int8,int8
REGION_RATING_CLIENT_W_CITY,categorical_ordinal,ordinal,True,True,int8,int8
