feature,feature_category,role,universal_priority,universal_action,next_analysis_route,universal_reason,missing_pct_train,missing_pct_test,missing_gap_pct,n_unique_train,n_unique_test,constant_train,constant_test,missing_pct_combined,n_unique_combined,dominant_share_pct,issue_reasons
FLAG_DOCUMENT_2,binary_flag,feature,P1_stability_review,route_to_binary_flag_eda; also stability_review,binary_flag_eda,constant in test; near-constant combined distribution,0.0,0.0,0.0,2,1.0,False,True,0.0,2,99.99635092840802,constant_test; near_constant
FLAG_DOCUMENT_20,binary_flag,feature,P1_stability_review,route_to_binary_flag_eda; also stability_review,binary_flag_eda,constant in test; near-constant combined distribution,0.0,0.0,0.0,2,1.0,False,True,0.0,2,99.95621114089627,constant_test; near_constant
FLAG_DOCUMENT_21,binary_flag,feature,P1_stability_review,route_to_binary_flag_eda; also stability_review,binary_flag_eda,constant in test; near-constant combined distribution,0.0,0.0,0.0,2,1.0,False,True,0.0,2,99.97108812507895,constant_test; near_constant
bureau_active_annuity_amount_max,continuous_amount_numeric,feature,P1_stability_review,route_to_continuous_numeric_eda; also stability_review,continuous_numeric_eda,high combined missingness; large train-test missingness gap,80.05079493091304,35.62284588872476,44.42794904218828,19214,14527.0,False,False,73.97201442786768,26211,73.97201442786768,high_missing; large_train_test_missing_gap
bureau_active_annuity_amount_mean,continuous_amount_numeric,feature,P1_stability_review,route_to_continuous_numeric_eda; also stability_review,continuous_numeric_eda,high combined missingness; large train-test missingness gap,80.05079493091304,35.62284588872476,44.42794904218828,26828,20527.0,False,False,73.97201442786768,41052,73.97201442786768,high_missing; large_train_test_missing_gap
bureau_annuity_amount_max,continuous_amount_numeric,feature,P1_stability_review,route_to_continuous_numeric_eda; also stability_review,continuous_numeric_eda,high combined missingness; large train-test missingness gap,73.98174374250027,21.60060725422616,52.38113648827411,23582,15377.0,False,False,66.81478154692566,30558,66.81478154692566,high_missing; large_train_test_missing_gap
bureau_annuity_amount_mean,continuous_amount_numeric,feature,P1_stability_review,route_to_continuous_numeric_eda; also stability_review,continuous_numeric_eda,high combined missingness; large train-test missingness gap,73.98174374250027,21.60060725422616,52.38113648827411,40538,23653.0,False,False,66.81478154692566,58038,66.81478154692566,high_missing; large_train_test_missing_gap
bureau_closed_annuity_amount_max,continuous_amount_numeric,feature,P1_stability_review,route_to_continuous_numeric_eda; also stability_review,continuous_numeric_eda,high combined missingness; large train-test missingness gap,78.53442641076253,40.11980961759396,38.41461679316858,17576,4393.0,False,False,73.27841012757716,19170,73.27841012757716,high_missing; large_train_test_missing_gap
bureau_closed_annuity_amount_mean,continuous_amount_numeric,feature,P1_stability_review,route_to_continuous_numeric_eda; also stability_review,continuous_numeric_eda,high combined missingness; large train-test missingness gap,78.53442641076253,40.11980961759396,38.41461679316858,25539,5059.0,False,False,73.27841012757716,28843,73.27841012757716,high_missing; large_train_test_missing_gap
bureau_latest_annuity_amount,continuous_amount_numeric,feature,P1_stability_review,route_to_continuous_numeric_eda; also stability_review,continuous_numeric_eda,high combined missingness; large train-test missingness gap,80.60297030024942,39.20482520925652,41.39814509099291,16112,11223.0,False,False,74.938737701927,21962,74.938737701927,high_missing; large_train_test_missing_gap
bureau_recent_12m_annuity_amount_max,continuous_amount_numeric,feature,P1_stability_review,route_to_continuous_numeric_eda; also stability_review,continuous_numeric_eda,extreme combined missingness; large train-test missingness gap,86.65608709932327,59.12727720334811,27.52880989597517,14355,10234.0,False,False,82.88950330521678,19893,82.88950330521678,extreme_missing; large_train_test_missing_gap
bureau_recent_12m_annuity_amount_mean,continuous_amount_numeric,feature,P1_stability_review,route_to_continuous_numeric_eda; also stability_review,continuous_numeric_eda,extreme combined missingness; large train-test missingness gap,86.65608709932327,59.12727720334811,27.52880989597517,17370,12193.0,False,False,82.88950330521678,25555,82.88950330521678,extreme_missing; large_train_test_missing_gap
bureau_recent_24m_annuity_amount_max,continuous_amount_numeric,feature,P1_stability_review,route_to_continuous_numeric_eda; also stability_review,continuous_numeric_eda,high combined missingness; large train-test missingness gap,80.68426820503983,41.15378302970622,39.53048517533361,18692,13286.0,False,False,75.27557507964801,25214,75.27557507964801,high_missing; large_train_test_missing_gap
bureau_recent_24m_annuity_amount_mean,continuous_amount_numeric,feature,P1_stability_review,route_to_continuous_numeric_eda; also stability_review,continuous_numeric_eda,high combined missingness; large train-test missingness gap,80.68426820503983,41.15378302970622,39.53048517533361,26057,17765.0,False,False,75.27557507964801,38255,75.27557507964801,high_missing; large_train_test_missing_gap
bureau_bal_late_trend_12m_vs_old_max,continuous_stat_numeric,feature,P1_stability_review,route_to_continuous_numeric_eda; also stability_review,continuous_numeric_eda,high combined missingness; large train-test missingness gap,70.0072517731073,13.19752174626621,56.80973002684109,1383,832.0,False,False,62.23435460554939,1737,62.23435460554939,high_missing; large_train_test_missing_gap
bureau_bal_late_trend_12m_vs_old_mean,continuous_stat_numeric,feature,P1_stability_review,route_to_continuous_numeric_eda; also stability_review,continuous_numeric_eda,high combined missingness; large train-test missingness gap,70.0072517731073,13.19752174626621,56.80973002684109,11055,7378.0,False,False,62.23435460554939,16622,62.23435460554939,high_missing; large_train_test_missing_gap
bureau_bal_late_trend_12m_vs_old_min,continuous_stat_numeric,feature,P1_stability_review,route_to_continuous_numeric_eda; also stability_review,continuous_numeric_eda,high combined missingness; large train-test missingness gap,70.0072517731073,13.19752174626621,56.80973002684109,1472,1080.0,False,False,62.23435460554939,1765,62.23435460554939,high_missing; large_train_test_missing_gap
bureau_bal_month_max_max,date_duration_numeric,feature,P1_stability_review,route_to_date_duration_eda; also stability_review,date_duration_eda,high combined missingness; large train-test missingness gap,70.0072517731073,13.19752174626621,56.80973002684109,91,3.0,False,False,62.23435460554939,91,62.23435460554939,high_missing; large_train_test_missing_gap
bureau_bal_month_max_mean,date_duration_numeric,feature,P1_stability_review,route_to_date_duration_eda; also stability_review,date_duration_eda,high combined missingness; large train-test missingness gap,70.0072517731073,13.19752174626621,56.80973002684109,3958,160.0,False,False,62.23435460554939,4008,62.23435460554939,high_missing; large_train_test_missing_gap
bureau_bal_month_max_min,date_duration_numeric,feature,P1_stability_review,route_to_date_duration_eda; also stability_review,date_duration_eda,high combined missingness; large train-test missingness gap,70.0072517731073,13.19752174626621,56.80973002684109,96,13.0,False,False,62.23435460554939,96,62.23435460554939,high_missing; large_train_test_missing_gap
bureau_bal_month_mean_max,date_duration_numeric,feature,P1_stability_review,route_to_date_duration_eda; also stability_review,date_duration_eda,high combined missingness; large train-test missingness gap,70.0072517731073,13.19752174626621,56.80973002684109,184,97.0,False,False,62.23435460554939,184,62.23435460554939,high_missing; large_train_test_missing_gap
bureau_bal_month_mean_mean,date_duration_numeric,feature,P1_stability_review,route_to_date_duration_eda; also stability_review,date_duration_eda,high combined missingness; large train-test missingness gap,70.0072517731073,13.19752174626621,56.80973002684109,7066,4485.0,False,False,62.23435460554939,8068,62.23435460554939,high_missing; large_train_test_missing_gap
bureau_bal_month_mean_min,date_duration_numeric,feature,P1_stability_review,route_to_date_duration_eda; also stability_review,date_duration_eda,high combined missingness; large train-test missingness gap,70.0072517731073,13.19752174626621,56.80973002684109,191,108.0,False,False,62.23435460554939,191,62.23435460554939,high_missing; large_train_test_missing_gap
bureau_bal_month_min_max,date_duration_numeric,feature,P1_stability_review,route_to_date_duration_eda; also stability_review,date_duration_eda,high combined missingness; large train-test missingness gap,70.0072517731073,13.19752174626621,56.80973002684109,97,96.0,False,False,62.23435460554939,97,62.23435460554939,high_missing; large_train_test_missing_gap
bureau_bal_month_min_mean,date_duration_numeric,feature,P1_stability_review,route_to_date_duration_eda; also stability_review,date_duration_eda,high combined missingness; large train-test missingness gap,70.0072517731073,13.19752174626621,56.80973002684109,5715,4496.0,False,False,62.23435460554939,6660,62.23435460554939,high_missing; large_train_test_missing_gap
bureau_bal_month_min_min,date_duration_numeric,feature,P1_stability_review,route_to_date_duration_eda; also stability_review,date_duration_eda,high combined missingness; large train-test missingness gap,70.0072517731073,13.19752174626621,56.80973002684109,97,97.0,False,False,62.23435460554939,97,62.23435460554939,high_missing; large_train_test_missing_gap
bureau_bal_month_span_max,date_duration_numeric,feature,P1_stability_review,route_to_date_duration_eda; also stability_review,date_duration_eda,high combined missingness; large train-test missingness gap,70.0072517731073,13.19752174626621,56.80973002684109,97,97.0,False,False,62.23435460554939,97,62.23435460554939,high_missing; large_train_test_missing_gap
bureau_bal_month_span_mean,date_duration_numeric,feature,P1_stability_review,route_to_date_duration_eda; also stability_review,date_duration_eda,high combined missingness; large train-test missingness gap,70.0072517731073,13.19752174626621,56.80973002684109,5673,4498.0,False,False,62.23435460554939,6833,62.23435460554939,high_missing; large_train_test_missing_gap
bureau_bal_month_span_min,date_duration_numeric,feature,P1_stability_review,route_to_date_duration_eda; also stability_review,date_duration_eda,high combined missingness; large train-test missingness gap,70.0072517731073,13.19752174626621,56.80973002684109,97,96.0,False,False,62.23435460554939,97,62.23435460554939,high_missing; large_train_test_missing_gap
bureau_bal_late_count_max,discrete_count_numeric,feature,P1_stability_review,route_to_discrete_count_eda; also stability_review,discrete_count_eda,high combined missingness; large train-test missingness gap,70.0072517731073,13.19752174626621,56.80973002684109,85,74.0,False,False,62.23435460554939,88,62.23435460554939,high_missing; large_train_test_missing_gap
bureau_bal_late_count_mean,discrete_count_numeric,feature,P1_stability_review,route_to_discrete_count_eda; also stability_review,discrete_count_eda,high combined missingness; large train-test missingness gap,70.0072517731073,13.19752174626621,56.80973002684109,907,631.0,False,False,62.23435460554939,1017,62.23435460554939,high_missing; large_train_test_missing_gap
bureau_bal_month_count_max,discrete_count_numeric,feature,P1_stability_review,route_to_discrete_count_eda; also stability_review,discrete_count_eda,high combined missingness; large train-test missingness gap,70.0072517731073,13.19752174626621,56.80973002684109,97,97.0,False,False,62.23435460554939,97,62.23435460554939,high_missing; large_train_test_missing_gap
bureau_bal_month_count_mean,discrete_count_numeric,feature,P1_stability_review,route_to_discrete_count_eda; also stability_review,discrete_count_eda,high combined missingness; large train-test missingness gap,70.0072517731073,13.19752174626621,56.80973002684109,5673,4498.0,False,False,62.23435460554939,6833,62.23435460554939,high_missing; large_train_test_missing_gap
bureau_bal_old_count_max,discrete_count_numeric,feature,P1_stability_review,route_to_discrete_count_eda; also stability_review,discrete_count_eda,high combined missingness; large train-test missingness gap,70.0072517731073,13.19752174626621,56.80973002684109,85,85.0,False,False,62.23435460554939,85,62.23435460554939,high_missing; large_train_test_missing_gap
bureau_bal_old_count_mean,discrete_count_numeric,feature,P1_stability_review,route_to_discrete_count_eda; also stability_review,discrete_count_eda,high combined missingness; large train-test missingness gap,70.0072517731073,13.19752174626621,56.80973002684109,5143,4254.0,False,False,62.23435460554939,6163,62.23435460554939,high_missing; large_train_test_missing_gap
bureau_bal_old_late_count_max,discrete_count_numeric,feature,P1_stability_review,route_to_discrete_count_eda; also stability_review,discrete_count_eda,high combined missingness; large train-test missingness gap,70.0072517731073,13.19752174626621,56.80973002684109,76,65.0,False,False,62.23435460554939,77,62.23435460554939,high_missing; large_train_test_missing_gap
bureau_bal_old_late_count_mean,discrete_count_numeric,feature,P1_stability_review,route_to_discrete_count_eda; also stability_review,discrete_count_eda,high combined missingness; large train-test missingness gap,70.0072517731073,13.19752174626621,56.80973002684109,811,560.0,False,False,62.23435460554939,900,62.23435460554939,high_missing; large_train_test_missing_gap
bureau_bal_recent_12m_count_max,discrete_count_numeric,feature,P1_stability_review,route_to_discrete_count_eda; also stability_review,discrete_count_eda,high combined missingness; large train-test missingness gap,70.0072517731073,13.19752174626621,56.80973002684109,14,13.0,False,False,62.23435460554939,14,62.23435460554939,high_missing; large_train_test_missing_gap
bureau_bal_recent_12m_count_mean,discrete_count_numeric,feature,P1_stability_review,route_to_discrete_count_eda; also stability_review,discrete_count_eda,high combined missingness; large train-test missingness gap,70.0072517731073,13.19752174626621,56.80973002684109,1860,868.0,False,False,62.23435460554939,2055,62.23435460554939,high_missing; large_train_test_missing_gap
bureau_bal_recent_12m_late_count_max,discrete_count_numeric,feature,P1_stability_review,route_to_discrete_count_eda; also stability_review,discrete_count_eda,high combined missingness; large train-test missingness gap,70.0072517731073,13.19752174626621,56.80973002684109,14,14.0,False,False,62.23435460554939,14,62.23435460554939,high_missing; large_train_test_missing_gap
bureau_bal_recent_12m_late_count_mean,discrete_count_numeric,feature,P1_stability_review,route_to_discrete_count_eda; also stability_review,discrete_count_eda,high combined missingness; large train-test missingness gap,70.0072517731073,13.19752174626621,56.80973002684109,408,263.0,False,False,62.23435460554939,442,62.23435460554939,high_missing; large_train_test_missing_gap
bureau_bal_recent_12m_severe_late_count_max,discrete_count_numeric,feature,P1_stability_review,route_to_discrete_count_eda; also stability_review,discrete_count_eda,high combined missingness; large train-test missingness gap,70.0072517731073,13.19752174626621,56.80973002684109,14,14.0,False,False,62.23435460554939,14,62.23435460554939,high_missing; large_train_test_missing_gap
bureau_bal_recent_12m_severe_late_count_mean,discrete_count_numeric,feature,P1_stability_review,route_to_discrete_count_eda; also stability_review,discrete_count_eda,high combined missingness; large train-test missingness gap,70.0072517731073,13.19752174626621,56.80973002684109,223,68.0,False,False,62.23435460554939,234,62.23435460554939,high_missing; large_train_test_missing_gap
bureau_bal_recent_6m_count_max,discrete_count_numeric,feature,P1_stability_review,route_to_discrete_count_eda; also stability_review,discrete_count_eda,high combined missingness; large train-test missingness gap,70.0072517731073,13.19752174626621,56.80973002684109,8,7.0,False,False,62.23435460554939,8,62.23435460554939,high_missing; large_train_test_missing_gap
bureau_bal_recent_6m_count_mean,discrete_count_numeric,feature,P1_stability_review,route_to_discrete_count_eda; also stability_review,discrete_count_eda,high combined missingness; large train-test missingness gap,70.0072517731073,13.19752174626621,56.80973002684109,1173,445.0,False,False,62.23435460554939,1281,62.23435460554939,high_missing; large_train_test_missing_gap
bureau_bal_recent_6m_late_count_max,discrete_count_numeric,feature,P1_stability_review,route_to_discrete_count_eda; also stability_review,discrete_count_eda,high combined missingness; large train-test missingness gap,70.0072517731073,13.19752174626621,56.80973002684109,8,8.0,False,False,62.23435460554939,8,62.23435460554939,high_missing; large_train_test_missing_gap
bureau_bal_recent_6m_late_count_mean,discrete_count_numeric,feature,P1_stability_review,route_to_discrete_count_eda; also stability_review,discrete_count_eda,high combined missingness; large train-test missingness gap,70.0072517731073,13.19752174626621,56.80973002684109,267,189.0,False,False,62.23435460554939,293,62.23435460554939,high_missing; large_train_test_missing_gap
bureau_bal_recent_6m_severe_late_count_max,discrete_count_numeric,feature,P1_stability_review,route_to_discrete_count_eda; also stability_review,discrete_count_eda,high combined missingness; large train-test missingness gap,70.0072517731073,13.19752174626621,56.80973002684109,8,8.0,False,False,62.23435460554939,8,62.23435460554939,high_missing; large_train_test_missing_gap
bureau_bal_recent_6m_severe_late_count_mean,discrete_count_numeric,feature,P1_stability_review,route_to_discrete_count_eda; also stability_review,discrete_count_eda,high combined missingness; large train-test missingness gap,70.0072517731073,13.19752174626621,56.80973002684109,156,44.0,False,False,62.23435460554939,162,62.23435460554939,high_missing; large_train_test_missing_gap
bureau_bal_severe_late_count_max,discrete_count_numeric,feature,P1_stability_review,route_to_discrete_count_eda; also stability_review,discrete_count_eda,high combined missingness; large train-test missingness gap,70.0072517731073,13.19752174626621,56.80973002684109,81,70.0,False,False,62.23435460554939,84,62.23435460554939,high_missing; large_train_test_missing_gap
bureau_bal_severe_late_count_mean,discrete_count_numeric,feature,P1_stability_review,route_to_discrete_count_eda; also stability_review,discrete_count_eda,high combined missingness; large train-test missingness gap,70.0072517731073,13.19752174626621,56.80973002684109,526,296.0,False,False,62.23435460554939,597,62.23435460554939,high_missing; large_train_test_missing_gap
bureau_bal_status_0_count_max,discrete_count_numeric,feature,P1_stability_review,route_to_discrete_count_eda; also stability_review,discrete_count_eda,high combined missingness; large train-test missingness gap,70.0072517731073,13.19752174626621,56.80973002684109,96,96.0,False,False,62.23435460554939,96,62.23435460554939,high_missing; large_train_test_missing_gap
bureau_bal_status_1_count_max,discrete_count_numeric,feature,P1_stability_review,route_to_discrete_count_eda; also stability_review,discrete_count_eda,high combined missingness; large train-test missingness gap,70.0072517731073,13.19752174626621,56.80973002684109,49,45.0,False,False,62.23435460554939,51,62.23435460554939,high_missing; large_train_test_missing_gap
bureau_bal_status_2_count_max,discrete_count_numeric,feature,P1_stability_review,route_to_discrete_count_eda; also stability_review,discrete_count_eda,high combined missingness; large train-test missingness gap,70.0072517731073,13.19752174626621,56.80973002684109,17,15.0,False,False,62.23435460554939,18,62.23435460554939,high_missing; large_train_test_missing_gap
bureau_bal_status_3_count_max,discrete_count_numeric,feature,P1_stability_review,route_to_discrete_count_eda; also stability_review,discrete_count_eda,high combined missingness; large train-test missingness gap,70.0072517731073,13.19752174626621,56.80973002684109,11,11.0,False,False,62.23435460554939,12,62.23435460554939,high_missing; large_train_test_missing_gap
bureau_bal_status_4_count_max,discrete_count_numeric,feature,P1_stability_review,route_to_discrete_count_eda; also stability_review,discrete_count_eda,high combined missingness; large train-test missingness gap,70.0072517731073,13.19752174626621,56.80973002684109,10,11.0,False,False,62.23435460554939,12,62.23435460554939,high_missing; large_train_test_missing_gap
bureau_bal_status_5_count_max,discrete_count_numeric,feature,P1_stability_review,route_to_discrete_count_eda; also stability_review,discrete_count_eda,high combined missingness; large train-test missingness gap,70.0072517731073,13.19752174626621,56.80973002684109,81,64.0,False,False,62.23435460554939,83,62.23435460554939,high_missing; large_train_test_missing_gap
bureau_bal_status_C_count_max,discrete_count_numeric,feature,P1_stability_review,route_to_discrete_count_eda; also stability_review,discrete_count_eda,high combined missingness; large train-test missingness gap,70.0072517731073,13.19752174626621,56.80973002684109,97,96.0,False,False,62.23435460554939,97,62.23435460554939,high_missing; large_train_test_missing_gap
bureau_bal_status_X_count_max,discrete_count_numeric,feature,P1_stability_review,route_to_discrete_count_eda; also stability_review,discrete_count_eda,high combined missingness; large train-test missingness gap,70.0072517731073,13.19752174626621,56.80973002684109,98,97.0,False,False,62.23435460554939,98,62.23435460554939,high_missing; large_train_test_missing_gap
bureau_bal_unique_status_count_max,discrete_count_numeric,feature,P1_stability_review,route_to_discrete_count_eda; also stability_review,discrete_count_eda,high combined missingness; large train-test missingness gap,70.0072517731073,13.19752174626621,56.80973002684109,8,8.0,False,False,62.23435460554939,8,62.23435460554939,high_missing; large_train_test_missing_gap
bureau_bal_max_late_status_max,overdue_delay_numeric,feature,P1_stability_review,route_to_overdue_delay_eda; also stability_review,overdue_delay_eda,high combined missingness; large train-test missingness gap,70.0072517731073,13.19752174626621,56.80973002684109,6,6.0,False,False,62.23435460554939,6,62.23435460554939,high_missing; large_train_test_missing_gap
bureau_bal_max_late_status_min,overdue_delay_numeric,feature,P1_stability_review,route_to_overdue_delay_eda; also stability_review,overdue_delay_eda,high combined missingness; large train-test missingness gap,70.0072517731073,13.19752174626621,56.80973002684109,6,6.0,False,False,62.23435460554939,6,62.23435460554939,high_missing; large_train_test_missing_gap
bureau_latest_bal_max_late_status,overdue_delay_numeric,feature,P1_stability_review,route_to_overdue_delay_eda; also stability_review,overdue_delay_eda,high combined missingness; large train-test missingness gap,70.04497400093005,13.64680781224356,56.3981661886865,6,6.0,False,False,62.32838837349652,6,62.32838837349652,high_missing; large_train_test_missing_gap
bureau_annuity_to_credit_max,ratio_rate_numeric,feature,P1_stability_review,route_to_ratio_rate_eda; also stability_review,ratio_rate_eda,high combined missingness; large train-test missingness gap,74.16645258218405,21.92474971278516,52.24170286939889,50146,19640.0,False,False,67.01856816044686,67321,67.01856816044686,high_missing; large_train_test_missing_gap
bureau_annuity_to_credit_mean,ratio_rate_numeric,feature,P1_stability_review,route_to_ratio_rate_eda; also stability_review,ratio_rate_eda,high combined missingness; large train-test missingness gap,74.16645258218405,21.92474971278516,52.24170286939889,56346,26545.0,False,False,67.01856816044686,81741,67.01856816044686,high_missing; large_train_test_missing_gap
bureau_bal_late_ratio_max,ratio_rate_numeric,feature,P1_stability_review,route_to_ratio_rate_eda; also stability_review,ratio_rate_eda,high combined missingness; large train-test missingness gap,70.0072517731073,13.19752174626621,56.80973002684109,1323,1082.0,False,False,62.23435460554939,1535,62.23435460554939,high_missing; large_train_test_missing_gap
bureau_bal_late_ratio_mean,ratio_rate_numeric,feature,P1_stability_review,route_to_ratio_rate_eda; also stability_review,ratio_rate_eda,high combined missingness; large train-test missingness gap,70.0072517731073,13.19752174626621,56.80973002684109,14068,8265.0,False,False,62.23435460554939,20485,62.23435460554939,high_missing; large_train_test_missing_gap
bureau_bal_late_ratio_min,ratio_rate_numeric,feature,P1_stability_review,route_to_ratio_rate_eda; also stability_review,ratio_rate_eda,high combined missingness; large train-test missingness gap,70.0072517731073,13.19752174626621,56.80973002684109,595,308.0,False,False,62.23435460554939,658,62.23435460554939,high_missing; large_train_test_missing_gap
bureau_bal_max_late_status_mean,ratio_rate_numeric,feature,P1_stability_review,route_to_ratio_rate_eda; also stability_review,ratio_rate_eda,high combined missingness; large train-test missingness gap,70.0072517731073,13.19752174626621,56.80973002684109,378,244.0,False,False,62.23435460554939,404,62.23435460554939,high_missing; large_train_test_missing_gap
bureau_bal_old_late_ratio_max,ratio_rate_numeric,feature,P1_stability_review,route_to_ratio_rate_eda; also stability_review,ratio_rate_eda,high combined missingness; large train-test missingness gap,70.0072517731073,13.19752174626621,56.80973002684109,1144,912.0,False,False,62.23435460554939,1321,62.23435460554939,high_missing; large_train_test_missing_gap
bureau_bal_old_late_ratio_mean,ratio_rate_numeric,feature,P1_stability_review,route_to_ratio_rate_eda; also stability_review,ratio_rate_eda,high combined missingness; large train-test missingness gap,70.0072517731073,13.19752174626621,56.80973002684109,11113,6018.0,False,False,62.23435460554939,15523,62.23435460554939,high_missing; large_train_test_missing_gap
bureau_bal_old_late_ratio_min,ratio_rate_numeric,feature,P1_stability_review,route_to_ratio_rate_eda; also stability_review,ratio_rate_eda,high combined missingness; large train-test missingness gap,70.0072517731073,13.19752174626621,56.80973002684109,472,249.0,False,False,62.23435460554939,538,62.23435460554939,high_missing; large_train_test_missing_gap
bureau_bal_recent_12m_late_ratio_max,ratio_rate_numeric,feature,P1_stability_review,route_to_ratio_rate_eda; also stability_review,ratio_rate_eda,high combined missingness; large train-test missingness gap,70.0072517731073,13.19752174626621,56.80973002684109,59,56.0,False,False,62.23435460554939,59,62.23435460554939,high_missing; large_train_test_missing_gap
bureau_bal_recent_12m_late_ratio_mean,ratio_rate_numeric,feature,P1_stability_review,route_to_ratio_rate_eda; also stability_review,ratio_rate_eda,high combined missingness; large train-test missingness gap,70.0072517731073,13.19752174626621,56.80973002684109,2091,974.0,False,False,62.23435460554939,2464,62.23435460554939,high_missing; large_train_test_missing_gap
bureau_bal_recent_12m_late_ratio_min,ratio_rate_numeric,feature,P1_stability_review,route_to_ratio_rate_eda; also stability_review,ratio_rate_eda,high combined missingness; large train-test missingness gap,70.0072517731073,13.19752174626621,56.80973002684109,49,32.0,False,False,62.23435460554939,49,62.23435460554939,high_missing; large_train_test_missing_gap
bureau_bal_recent_12m_severe_late_ratio_max,ratio_rate_numeric,feature,P1_stability_review,route_to_ratio_rate_eda; also stability_review,ratio_rate_eda,high combined missingness; large train-test missingness gap,70.0072517731073,13.19752174626621,56.80973002684109,53,22.0,False,False,62.23435460554939,53,62.23435460554939,high_missing; large_train_test_missing_gap
bureau_bal_recent_12m_severe_late_ratio_mean,ratio_rate_numeric,feature,P1_stability_review,route_to_ratio_rate_eda; also stability_review,ratio_rate_eda,high combined missingness; large train-test missingness gap,70.0072517731073,13.19752174626621,56.80973002684109,346,70.0,False,False,62.23435460554939,361,62.23435460554939,high_missing; large_train_test_missing_gap
bureau_bal_recent_12m_severe_late_ratio_min,ratio_rate_numeric,feature,P1_stability_review,route_to_ratio_rate_eda; also stability_review,ratio_rate_eda,high combined missingness; large train-test missingness gap,70.0072517731073,13.19752174626621,56.80973002684109,23,6.0,False,False,62.23435460554939,24,62.23435460554939,high_missing; large_train_test_missing_gap
bureau_bal_recent_6m_late_ratio_max,ratio_rate_numeric,feature,P1_stability_review,route_to_ratio_rate_eda; also stability_review,ratio_rate_eda,high combined missingness; large train-test missingness gap,70.0072517731073,13.19752174626621,56.80973002684109,19,19.0,False,False,62.23435460554939,19,62.23435460554939,high_missing; large_train_test_missing_gap
bureau_bal_recent_6m_late_ratio_mean,ratio_rate_numeric,feature,P1_stability_review,route_to_ratio_rate_eda; also stability_review,ratio_rate_eda,high combined missingness; large train-test missingness gap,70.0072517731073,13.19752174626621,56.80973002684109,659,332.0,False,False,62.23435460554939,728,62.23435460554939,high_missing; large_train_test_missing_gap
bureau_bal_recent_6m_late_ratio_min,ratio_rate_numeric,feature,P1_stability_review,route_to_ratio_rate_eda; also stability_review,ratio_rate_eda,high combined missingness; large train-test missingness gap,70.0072517731073,13.19752174626621,56.80973002684109,17,15.0,False,False,62.23435460554939,17,62.23435460554939,high_missing; large_train_test_missing_gap
bureau_bal_severe_late_ratio_max,ratio_rate_numeric,feature,P1_stability_review,route_to_ratio_rate_eda; also stability_review,ratio_rate_eda,high combined missingness; large train-test missingness gap,70.0072517731073,13.19752174626621,56.80973002684109,927,560.0,False,False,62.23435460554939,1090,62.23435460554939,high_missing; large_train_test_missing_gap
