feature,feature_category,role,universal_priority,universal_action,next_analysis_route,universal_reason,missing_pct_train,missing_pct_test,missing_gap_pct,n_unique_train,n_unique_test,constant_train,constant_test,missing_pct_combined,n_unique_combined,dominant_share_pct,issue_reasons
AMT_GOODS_PRICE,continuous_amount_numeric,feature,P3_normal_type_specific_eda,route_to_continuous_numeric_eda,continuous_numeric_eda,no universal-level issue; continue type-specific EDA,0.09040327012692229,0.0,0.09040327012692229,1002,677.0,False,False,0.07803399250536834,1291,8.620510589325061,
NAME_TYPE_SUITE,categorical_nominal,feature,P3_normal_type_specific_eda,route_to_categorical_nominal_eda,categorical_nominal_eda,no universal-level issue; continue type-specific EDA,0.4201475719567755,1.868947973083867,1.448800401127091,7,7.0,False,False,0.618377285932829,7,80.91198720017965,
NAME_INCOME_TYPE,categorical_nominal,feature,P3_normal_type_specific_eda,route_to_categorical_nominal_eda,categorical_nominal_eda,no universal-level issue; continue type-specific EDA,0.0,0.0,0.0,8,7.0,False,False,0.0,8,51.45387433158833,
NAME_EDUCATION_TYPE,categorical_ordinal,feature,P3_normal_type_specific_eda,route_to_categorical_ordinal_eda,categorical_ordinal_eda,no universal-level issue; continue type-specific EDA,0.0,0.0,0.0,5,5.0,False,False,0.0,5,70.84223379320991,
NAME_FAMILY_STATUS,categorical_nominal,feature,P3_normal_type_specific_eda,route_to_categorical_nominal_eda,categorical_nominal_eda,no universal-level issue; continue type-specific EDA,0.0,0.0,0.0,6,5.0,False,False,0.0,6,64.1998007045515,
NAME_HOUSING_TYPE,categorical_nominal,feature,P3_normal_type_specific_eda,route_to_categorical_nominal_eda,categorical_nominal_eda,no universal-level issue; continue type-specific EDA,0.0,0.0,0.0,6,6.0,False,False,0.0,6,88.84450744550954,
REGION_POPULATION_RELATIVE,ratio_rate_numeric,feature,P3_normal_type_specific_eda,route_to_ratio_rate_eda,ratio_rate_eda,no universal-level issue; continue type-specific EDA,0.0,0.0,0.0,81,81.0,False,False,0.0,82,5.330451502435054,
DAYS_BIRTH,date_duration_numeric,feature,P3_normal_type_specific_eda,route_to_date_duration_eda,date_duration_eda,no universal-level issue; continue type-specific EDA,0.0,0.0,0.0,17460,15477.0,False,False,0.0,17467,0.0140348907383756,
DAYS_EMPLOYED,date_duration_numeric,feature,P3_normal_type_specific_eda,route_to_date_duration_eda,date_duration_eda,no universal-level issue; continue type-specific EDA,0.0,0.0,0.0,12574,7863.0,False,False,0.0,12896,18.14655232909012,
DAYS_REGISTRATION,ratio_rate_numeric,feature,P3_normal_type_specific_eda,route_to_ratio_rate_eda,ratio_rate_eda,no universal-level issue; continue type-specific EDA,0.0,0.0,0.0,15688,12618.0,False,False,0.0,15898,0.03452583121640398,
DAYS_ID_PUBLISH,date_duration_numeric,feature,P3_normal_type_specific_eda,route_to_date_duration_eda,date_duration_eda,no universal-level issue; continue type-specific EDA,0.0,0.0,0.0,6168,5880.0,False,False,0.0,6224,0.05220979354675723,
OWN_CAR_AGE,date_duration_numeric,feature,P2_missingness_review,route_to_date_duration_eda; consider_missingness_logic_later,date_duration_eda,high combined missingness,65.9908100848425,66.28918430986378,0.2983742250212913,62,52.0,False,False,66.0316346437243,63,66.0316346437243,high_missing
FLAG_MOBIL,binary_flag,feature,P2_low_variance_review,route_to_binary_flag_eda; low_variance_review_later,binary_flag_eda,near-constant combined distribution,0.0,0.0,0.0,2,2.0,False,False,0.0,2,99.99943860437045,near_constant
FLAG_EMP_PHONE,binary_flag,feature,P3_normal_type_specific_eda,route_to_binary_flag_eda,binary_flag_eda,no universal-level issue; continue type-specific EDA,0.0,0.0,0.0,2,2.0,False,False,0.0,2,81.84979859931791,
FLAG_WORK_PHONE,binary_flag,feature,P3_normal_type_specific_eda,route_to_binary_flag_eda,binary_flag_eda,no universal-level issue; continue type-specific EDA,0.0,0.0,0.0,2,2.0,False,False,0.0,2,79.99017557648314,
FLAG_CONT_MOBILE,binary_flag,feature,P2_low_variance_review,route_to_binary_flag_eda; low_variance_review_later,binary_flag_eda,near-constant combined distribution,0.0,0.0,0.0,2,2.0,False,False,0.0,2,99.81698502477158,near_constant
FLAG_PHONE,binary_flag,feature,P3_normal_type_specific_eda,route_to_binary_flag_eda,binary_flag_eda,no universal-level issue; continue type-specific EDA,0.0,0.0,0.0,2,2.0,False,False,0.0,2,72.13877699962106,
FLAG_EMAIL,binary_flag,feature,P3_normal_type_specific_eda,route_to_binary_flag_eda,binary_flag_eda,no universal-level issue; continue type-specific EDA,0.0,0.0,0.0,2,2.0,False,False,0.0,2,92.87869643934822,
OCCUPATION_TYPE,categorical_nominal,feature,P3_normal_type_specific_eda,route_to_categorical_nominal_eda,categorical_nominal_eda,no universal-level issue; continue type-specific EDA,31.34554536260492,32.01419661907106,0.6686512564661484,18,18.0,False,False,31.43703246270228,18,31.43703246270228,
CNT_FAM_MEMBERS,discrete_count_numeric,feature,P3_normal_type_specific_eda,route_to_discrete_count_eda,discrete_count_eda,no universal-level issue; continue type-specific EDA,0.0006503832383231819,0.0,0.0006503832383231819,17,12.0,False,False,0.0005613956295350241,18,51.76376471909167,
REGION_RATING_CLIENT,categorical_ordinal,feature,P3_normal_type_specific_eda,route_to_categorical_ordinal_eda,categorical_ordinal_eda,no universal-level issue; continue type-specific EDA,0.0,0.0,0.0,3,3.0,False,False,0.0,3,73.6382647261091,
REGION_RATING_CLIENT_W_CITY,categorical_ordinal,feature,P3_normal_type_specific_eda,route_to_categorical_ordinal_eda,categorical_ordinal_eda,no universal-level issue; continue type-specific EDA,0.0,0.0,0.0,3,4.0,False,False,0.0,4,74.45790234523024,
WEEKDAY_APPR_PROCESS_START,cyclical_time,feature,P3_normal_type_specific_eda,route_to_cyclical_time_review,cyclical_time_review,no universal-level issue; continue type-specific EDA,0.0,0.0,0.0,7,7.0,False,False,0.0,7,17.86697730558168,
HOUR_APPR_PROCESS_START,cyclical_time,feature,P3_normal_type_specific_eda,route_to_cyclical_time_review,cyclical_time_review,no universal-level issue; continue type-specific EDA,0.0,0.0,0.0,24,24.0,False,False,0.0,24,12.40572062146496,
REG_REGION_NOT_LIVE_REGION,binary_flag,feature,P3_normal_type_specific_eda,route_to_binary_flag_eda,binary_flag_eda,no universal-level issue; continue type-specific EDA,0.0,0.0,0.0,2,2.0,False,False,0.0,2,98.43510968267111,
REG_REGION_NOT_WORK_REGION,binary_flag,feature,P3_normal_type_specific_eda,route_to_binary_flag_eda,binary_flag_eda,no universal-level issue; continue type-specific EDA,0.0,0.0,0.0,2,2.0,False,False,0.0,2,94.86294929193976,
LIVE_REGION_NOT_WORK_REGION,binary_flag,feature,P3_normal_type_specific_eda,route_to_binary_flag_eda,binary_flag_eda,no universal-level issue; continue type-specific EDA,0.0,0.0,0.0,2,2.0,False,False,0.0,2,95.91528539950318,
REG_CITY_NOT_LIVE_CITY,binary_flag,feature,P3_normal_type_specific_eda,route_to_binary_flag_eda,binary_flag_eda,no universal-level issue; continue type-specific EDA,0.0,0.0,0.0,2,2.0,False,False,0.0,2,92.19239028224166,
REG_CITY_NOT_WORK_CITY,binary_flag,feature,P3_normal_type_specific_eda,route_to_binary_flag_eda,binary_flag_eda,no universal-level issue; continue type-specific EDA,0.0,0.0,0.0,2,2.0,False,False,0.0,2,77.03386619135169,
LIVE_CITY_NOT_WORK_CITY,binary_flag,feature,P3_normal_type_specific_eda,route_to_binary_flag_eda,binary_flag_eda,no universal-level issue; continue type-specific EDA,0.0,0.0,0.0,2,2.0,False,False,0.0,2,82.1175843146061,
ORGANIZATION_TYPE,categorical_nominal,feature,P3_normal_type_specific_eda,route_to_categorical_nominal_eda,categorical_nominal_eda,no universal-level issue; continue type-specific EDA,0.0,0.0,0.0,58,58.0,False,False,0.0,58,22.12797013375251,
EXT_SOURCE_1,score_index_numeric,feature,P2_missingness_review,route_to_continuous_numeric_eda; consider_missingness_logic_later,continuous_numeric_eda,high combined missingness,56.38107254699833,42.12210733628755,14.25896521071078,114584,27207.0,False,False,54.43011326156826,134315,54.43011326156826,high_missing
EXT_SOURCE_2,score_index_numeric,feature,P3_normal_type_specific_eda,route_to_continuous_numeric_eda,continuous_numeric_eda,no universal-level issue; continue type-specific EDA,0.2146264686466501,0.01641227638273429,0.1982141922639158,119831,38885.0,False,False,0.187506140264698,127157,0.2304529059241274,
EXT_SOURCE_3,score_index_numeric,feature,P3_normal_type_specific_eda,route_to_continuous_numeric_eda,continuous_numeric_eda,no universal-level issue; continue type-specific EDA,19.82530706218639,17.7827014606926,2.042605601493793,814,702.0,False,False,19.54583093570616,814,19.54583093570616,
APARTMENTS_AVG,property_normalized_numeric,feature,P2_missingness_review,route_to_continuous_numeric_eda; consider_missingness_logic_later,continuous_numeric_eda,high combined missingness,50.74972927797705,49.00500574429673,1.744723533680322,2339,1543.0,False,False,50.51101037178426,2391,50.51101037178426,high_missing
BASEMENTAREA_AVG,property_normalized_numeric,feature,P2_missingness_review,route_to_continuous_numeric_eda; consider_missingness_logic_later,continuous_numeric_eda,high combined missingness,58.51595552679416,56.7064664368948,1.809489089899358,3780,2816.0,False,False,58.26837518069922,3831,58.26837518069922,high_missing
YEARS_BEGINEXPLUATATION_AVG,property_normalized_numeric,feature,P3_normal_type_specific_eda,route_to_continuous_numeric_eda,continuous_numeric_eda,no universal-level issue; continue type-specific EDA,48.78101921557278,46.88987362547185,1.891145590100926,285,175.0,False,False,48.52226635415644,294,48.52226635415644,
YEARS_BUILD_AVG,property_normalized_numeric,feature,P2_missingness_review,route_to_continuous_numeric_eda; consider_missingness_logic_later,continuous_numeric_eda,high combined missingness,66.49778381911543,65.27572624322994,1.222057575885486,149,130.0,False,False,66.3305778164517,149,66.3305778164517,high_missing
COMMONAREA_AVG,property_normalized_numeric,feature,P2_missingness_review,route_to_continuous_numeric_eda; consider_missingness_logic_later,continuous_numeric_eda,high combined missingness,69.87229725115525,68.71614967996061,1.156147571194637,3181,2042.0,False,False,69.71410927565928,3271,69.71410927565928,high_missing
ELEVATORS_AVG,property_normalized_numeric,feature,P2_missingness_review,route_to_continuous_numeric_eda; consider_missingness_logic_later,continuous_numeric_eda,high combined missingness,53.29597965601231,51.67610372558674,1.619875930425565,257,181.0,False,False,53.07434281624117,266,53.07434281624117,high_missing
ENTRANCES_AVG,property_normalized_numeric,feature,P2_missingness_review,route_to_continuous_numeric_eda; consider_missingness_logic_later,continuous_numeric_eda,high combined missingness,50.3487680115508,48.37313310356146,1.975634907989338,285,200.0,False,False,50.07845503922752,294,50.07845503922752,high_missing
FLOORSMAX_AVG,property_normalized_numeric,feature,P3_normal_type_specific_eda,route_to_continuous_numeric_eda,continuous_numeric_eda,no universal-level issue; continue type-specific EDA,49.76082156410665,47.84383719021829,1.916984373888361,403,252.0,False,False,49.49853335391784,414,49.49853335391784,
FLOORSMIN_AVG,property_normalized_numeric,feature,P2_missingness_review,route_to_continuous_numeric_eda; consider_missingness_logic_later,continuous_numeric_eda,high combined missingness,67.84862980511267,66.60512063023141,1.243509174881254,305,198.0,False,False,67.67848872296528,318,67.67848872296528,high_missing
LANDAREA_AVG,property_normalized_numeric,feature,P2_missingness_review,route_to_continuous_numeric_eda; consider_missingness_logic_later,continuous_numeric_eda,high combined missingness,59.37673774271489,57.96405711472181,1.412680627993083,3527,2540.0,False,False,59.1834500568413,3580,59.1834500568413,high_missing
LIVINGAPARTMENTS_AVG,property_normalized_numeric,feature,P2_missingness_review,route_to_continuous_numeric_eda; consider_missingness_logic_later,continuous_numeric_eda,high combined missingness,68.35495315614726,67.24930247825374,1.105650677893522,1868,1211.0,False,False,68.2036743343953,1917,68.2036743343953,high_missing
LIVINGAREA_AVG,property_normalized_numeric,feature,P3_normal_type_specific_eda,route_to_continuous_numeric_eda,continuous_numeric_eda,no universal-level issue; continue type-specific EDA,50.19332641759156,48.31774167076973,1.875584746821829,5199,3848.0,False,False,49.93670264276992,5272,49.93670264276992,
NONLIVINGAPARTMENTS_AVG,property_normalized_numeric,feature,P2_missingness_review,route_to_continuous_numeric_eda; consider_missingness_logic_later,continuous_numeric_eda,high combined missingness,69.43296337366793,68.41252256688003,1.020440806787903,386,241.0,False,False,69.2933432513228,410,69.2933432513228,high_missing
NONLIVINGAREA_AVG,property_normalized_numeric,feature,P2_missingness_review,route_to_continuous_numeric_eda; consider_missingness_logic_later,continuous_numeric_eda,high combined missingness,55.17916432257708,53.51222714590514,1.666937176671944,3290,2026.0,False,False,54.95108840577676,3397,54.95108840577676,high_missing
APARTMENTS_MODE,property_normalized_numeric,feature,P2_missingness_review,route_to_continuous_numeric_eda; consider_missingness_logic_later,continuous_numeric_eda,high combined missingness,50.74972927797705,49.00500574429673,1.744723533680322,760,636.0,False,False,50.51101037178426,770,50.51101037178426,high_missing
BASEMENTAREA_MODE,property_normalized_numeric,feature,P2_missingness_review,route_to_continuous_numeric_eda; consider_missingness_logic_later,continuous_numeric_eda,high combined missingness,58.51595552679416,56.7064664368948,1.809489089899358,3841,2835.0,False,False,58.26837518069922,3891,58.26837518069922,high_missing
YEARS_BEGINEXPLUATATION_MODE,property_normalized_numeric,feature,P3_normal_type_specific_eda,route_to_continuous_numeric_eda,continuous_numeric_eda,no universal-level issue; continue type-specific EDA,48.78101921557278,46.88987362547185,1.891145590100926,221,160.0,False,False,48.52226635415644,224,48.52226635415644,
YEARS_BUILD_MODE,property_normalized_numeric,feature,P2_missingness_review,route_to_continuous_numeric_eda; consider_missingness_logic_later,continuous_numeric_eda,high combined missingness,66.49778381911543,65.27572624322994,1.222057575885486,154,132.0,False,False,66.3305778164517,154,66.3305778164517,high_missing
COMMONAREA_MODE,property_normalized_numeric,feature,P2_missingness_review,route_to_continuous_numeric_eda; consider_missingness_logic_later,continuous_numeric_eda,high combined missingness,69.87229725115525,68.71614967996061,1.156147571194637,3128,2001.0,False,False,69.71410927565928,3215,69.71410927565928,high_missing
ELEVATORS_MODE,property_normalized_numeric,feature,P2_missingness_review,route_to_continuous_numeric_eda; consider_missingness_logic_later,continuous_numeric_eda,high combined missingness,53.29597965601231,51.67610372558674,1.619875930425565,26,26.0,False,False,53.07434281624117,26,53.07434281624117,high_missing
ENTRANCES_MODE,property_normalized_numeric,feature,P2_missingness_review,route_to_continuous_numeric_eda; consider_missingness_logic_later,continuous_numeric_eda,high combined missingness,50.3487680115508,48.37313310356146,1.975634907989338,30,30.0,False,False,50.07845503922752,30,50.07845503922752,high_missing
FLOORSMAX_MODE,property_normalized_numeric,feature,P3_normal_type_specific_eda,route_to_continuous_numeric_eda,continuous_numeric_eda,no universal-level issue; continue type-specific EDA,49.76082156410665,47.84383719021829,1.916984373888361,25,25.0,False,False,49.49853335391784,25,49.49853335391784,
FLOORSMIN_MODE,property_normalized_numeric,feature,P2_missingness_review,route_to_continuous_numeric_eda; consider_missingness_logic_later,continuous_numeric_eda,high combined missingness,67.84862980511267,66.60512063023141,1.243509174881254,25,25.0,False,False,67.67848872296528,25,67.67848872296528,high_missing
LANDAREA_MODE,property_normalized_numeric,feature,P2_missingness_review,route_to_continuous_numeric_eda; consider_missingness_logic_later,continuous_numeric_eda,high combined missingness,59.37673774271489,57.96405711472181,1.412680627993083,3563,2560.0,False,False,59.1834500568413,3621,59.1834500568413,high_missing
LIVINGAPARTMENTS_MODE,property_normalized_numeric,feature,P2_missingness_review,route_to_continuous_numeric_eda; consider_missingness_logic_later,continuous_numeric_eda,high combined missingness,68.35495315614726,67.24930247825374,1.105650677893522,736,602.0,False,False,68.2036743343953,749,68.2036743343953,high_missing
LIVINGAREA_MODE,property_normalized_numeric,feature,P3_normal_type_specific_eda,route_to_continuous_numeric_eda,continuous_numeric_eda,no universal-level issue; continue type-specific EDA,50.19332641759156,48.31774167076973,1.875584746821829,5301,3842.0,False,False,49.93670264276992,5382,49.93670264276992,
NONLIVINGAPARTMENTS_MODE,property_normalized_numeric,feature,P2_missingness_review,route_to_continuous_numeric_eda; consider_missingness_logic_later,continuous_numeric_eda,high combined missingness,69.43296337366793,68.41252256688003,1.020440806787903,167,106.0,False,False,69.2933432513228,178,69.2933432513228,high_missing
NONLIVINGAREA_MODE,property_normalized_numeric,feature,P2_missingness_review,route_to_continuous_numeric_eda; consider_missingness_logic_later,continuous_numeric_eda,high combined missingness,55.17916432257708,53.51222714590514,1.666937176671944,3327,2025.0,False,False,54.95108840577676,3432,54.95108840577676,high_missing
APARTMENTS_MEDI,property_normalized_numeric,feature,P2_missingness_review,route_to_continuous_numeric_eda; consider_missingness_logic_later,continuous_numeric_eda,high combined missingness,50.74972927797705,49.00500574429673,1.744723533680322,1148,918.0,False,False,50.51101037178426,1163,50.51101037178426,high_missing
BASEMENTAREA_MEDI,property_normalized_numeric,feature,P2_missingness_review,route_to_continuous_numeric_eda; consider_missingness_logic_later,continuous_numeric_eda,high combined missingness,58.51595552679416,56.7064664368948,1.809489089899358,3772,2805.0,False,False,58.26837518069922,3821,58.26837518069922,high_missing
YEARS_BEGINEXPLUATATION_MEDI,property_normalized_numeric,feature,P3_normal_type_specific_eda,route_to_continuous_numeric_eda,continuous_numeric_eda,no universal-level issue; continue type-specific EDA,48.78101921557278,46.88987362547185,1.891145590100926,245,169.0,False,False,48.52226635415644,250,48.52226635415644,
YEARS_BUILD_MEDI,property_normalized_numeric,feature,P2_missingness_review,route_to_continuous_numeric_eda; consider_missingness_logic_later,continuous_numeric_eda,high combined missingness,66.49778381911543,65.27572624322994,1.222057575885486,151,129.0,False,False,66.3305778164517,151,66.3305778164517,high_missing
COMMONAREA_MEDI,property_normalized_numeric,feature,P2_missingness_review,route_to_continuous_numeric_eda; consider_missingness_logic_later,continuous_numeric_eda,high combined missingness,69.87229725115525,68.71614967996061,1.156147571194637,3202,2034.0,False,False,69.71410927565928,3289,69.71410927565928,high_missing
ELEVATORS_MEDI,property_normalized_numeric,feature,P2_missingness_review,route_to_continuous_numeric_eda; consider_missingness_logic_later,continuous_numeric_eda,high combined missingness,53.29597965601231,51.67610372558674,1.619875930425565,46,43.0,False,False,53.07434281624117,46,53.07434281624117,high_missing
ENTRANCES_MEDI,property_normalized_numeric,feature,P2_missingness_review,route_to_continuous_numeric_eda; consider_missingness_logic_later,continuous_numeric_eda,high combined missingness,50.3487680115508,48.37313310356146,1.975634907989338,46,43.0,False,False,50.07845503922752,46,50.07845503922752,high_missing
FLOORSMAX_MEDI,property_normalized_numeric,feature,P3_normal_type_specific_eda,route_to_continuous_numeric_eda,continuous_numeric_eda,no universal-level issue; continue type-specific EDA,49.76082156410665,47.84383719021829,1.916984373888361,49,47.0,False,False,49.49853335391784,49,49.49853335391784,
FLOORSMIN_MEDI,property_normalized_numeric,feature,P2_missingness_review,route_to_continuous_numeric_eda; consider_missingness_logic_later,continuous_numeric_eda,high combined missingness,67.84862980511267,66.60512063023141,1.243509174881254,47,44.0,False,False,67.67848872296528,47,67.67848872296528,high_missing
LANDAREA_MEDI,property_normalized_numeric,feature,P2_missingness_review,route_to_continuous_numeric_eda; consider_missingness_logic_later,continuous_numeric_eda,high combined missingness,59.37673774271489,57.96405711472181,1.412680627993083,3560,2562.0,False,False,59.1834500568413,3618,59.1834500568413,high_missing
LIVINGAPARTMENTS_MEDI,property_normalized_numeric,feature,P2_missingness_review,route_to_continuous_numeric_eda; consider_missingness_logic_later,continuous_numeric_eda,high combined missingness,68.35495315614726,67.24930247825374,1.105650677893522,1097,843.0,False,False,68.2036743343953,1119,68.2036743343953,high_missing
LIVINGAREA_MEDI,property_normalized_numeric,feature,P3_normal_type_specific_eda,route_to_continuous_numeric_eda,continuous_numeric_eda,no universal-level issue; continue type-specific EDA,50.19332641759156,48.31774167076973,1.875584746821829,5281,3885.0,False,False,49.93670264276992,5360,49.93670264276992,
NONLIVINGAPARTMENTS_MEDI,property_normalized_numeric,feature,P2_missingness_review,route_to_continuous_numeric_eda; consider_missingness_logic_later,continuous_numeric_eda,high combined missingness,69.43296337366793,68.41252256688003,1.020440806787903,214,134.0,False,False,69.2933432513228,231,69.2933432513228,high_missing
NONLIVINGAREA_MEDI,property_normalized_numeric,feature,P2_missingness_review,route_to_continuous_numeric_eda; consider_missingness_logic_later,continuous_numeric_eda,high combined missingness,55.17916432257708,53.51222714590514,1.666937176671944,3323,2030.0,False,False,54.95108840577676,3419,54.95108840577676,high_missing
FONDKAPREMONT_MODE,categorical_nominal,feature,P2_missingness_review,route_to_categorical_nominal_eda; consider_missingness_logic_later,categorical_nominal_eda,high combined missingness,68.38617155158677,67.28417856556705,1.101992986019724,4,4.0,False,False,68.23539318746403,4,68.23539318746403,high_missing
HOUSETYPE_MODE,categorical_nominal,feature,P3_normal_type_specific_eda,route_to_categorical_nominal_eda,categorical_nominal_eda,no universal-level issue; continue type-specific EDA,50.176091261776,48.45519448547513,1.720896776300869,3,3.0,False,False,49.94063241217667,3,49.94063241217667,
TOTALAREA_MODE,property_normalized_numeric,feature,P3_normal_type_specific_eda,route_to_continuous_numeric_eda,continuous_numeric_eda,no universal-level issue; continue type-specific EDA,48.26851722377411,46.41391761037256,1.854599613401554,5116,3820.0,False,False,48.01476470505677,5191,48.01476470505677,
WALLSMATERIAL_MODE,categorical_nominal,feature,P2_missingness_review,route_to_categorical_nominal_eda; consider_missingness_logic_later,categorical_nominal_eda,high combined missingness,50.8407829313423,49.01731495158378,1.823467979758512,7,7.0,False,False,50.59128994680776,7,50.59128994680776,high_missing
EMERGENCYSTATE_MODE,categorical_binary,feature,P3_normal_type_specific_eda,route_to_categorical_nominal_eda,categorical_nominal_eda,no universal-level issue; continue type-specific EDA,47.39830445089769,45.56253077301822,1.835773677879473,2,2.0,False,False,47.14712775961039,2,52.09947930555361,
OBS_30_CNT_SOCIAL_CIRCLE,discrete_count_numeric,feature,P3_normal_type_specific_eda,route_to_discrete_count_eda,discrete_count_eda,no universal-level issue; continue type-specific EDA,0.3320206431639844,0.05949450188741178,0.2725261412765726,33,28.0,False,False,0.2947327055058876,36,53.3143394478674,
DEF_30_CNT_SOCIAL_CIRCLE,discrete_count_numeric,feature,P3_normal_type_specific_eda,route_to_discrete_count_eda,discrete_count_eda,no universal-level issue; continue type-specific EDA,0.3320206431639844,0.05949450188741178,0.2725261412765726,10,8.0,False,False,0.2947327055058876,10,88.28479600286312,
OBS_60_CNT_SOCIAL_CIRCLE,discrete_count_numeric,feature,P3_normal_type_specific_eda,route_to_discrete_count_eda,discrete_count_eda,no universal-level issue; continue type-specific EDA,0.3320206431639844,0.05949450188741178,0.2725261412765726,33,27.0,False,False,0.2947327055058876,35,53.55882724452991,
DEF_60_CNT_SOCIAL_CIRCLE,discrete_count_numeric,feature,P3_normal_type_specific_eda,route_to_discrete_count_eda,discrete_count_eda,no universal-level issue; continue type-specific EDA,0.3320206431639844,0.05949450188741178,0.2725261412765726,9,7.0,False,False,0.2947327055058876,9,91.32082356738853,
DAYS_LAST_PHONE_CHANGE,date_duration_numeric,feature,P3_normal_type_specific_eda,route_to_date_duration_eda,date_duration_eda,no universal-level issue; continue type-specific EDA,0.0003251916191615909,0.0,0.0003251916191615909,3773,3579.0,False,False,0.000280697814767512,3846,12.20277610138805,
FLAG_DOCUMENT_2,binary_flag,feature,P1_stability_review,route_to_binary_flag_eda; also stability_review,binary_flag_eda,constant in test; near-constant combined distribution,0.0,0.0,0.0,2,1.0,False,True,0.0,2,99.99635092840802,constant_test; near_constant
FLAG_DOCUMENT_3,binary_flag,feature,P3_normal_type_specific_eda,route_to_binary_flag_eda,binary_flag_eda,no universal-level issue; continue type-specific EDA,0.0,0.0,0.0,2,2.0,False,False,0.0,2,72.0503571879693,
FLAG_DOCUMENT_4,binary_flag,feature,P2_low_variance_review,route_to_binary_flag_eda; low_variance_review_later,binary_flag_eda,near-constant combined distribution,0.0,0.0,0.0,2,2.0,False,False,0.0,2,99.99157906555698,near_constant
FLAG_DOCUMENT_5,binary_flag,feature,P3_normal_type_specific_eda,route_to_binary_flag_eda,binary_flag_eda,no universal-level issue; continue type-specific EDA,0.0,0.0,0.0,2,2.0,False,False,0.0,2,98.49349482814276,
FLAG_DOCUMENT_6,binary_flag,feature,P3_normal_type_specific_eda,route_to_binary_flag_eda,binary_flag_eda,no universal-level issue; continue type-specific EDA,0.0,0.0,0.0,2,2.0,False,False,0.0,2,91.20236908955664,
FLAG_DOCUMENT_7,binary_flag,feature,P2_low_variance_review,route_to_binary_flag_eda; low_variance_review_later,binary_flag_eda,near-constant combined distribution,0.0,0.0,0.0,2,2.0,False,False,0.0,2,99.98287743329918,near_constant
FLAG_DOCUMENT_8,binary_flag,feature,P3_normal_type_specific_eda,route_to_binary_flag_eda,binary_flag_eda,no universal-level issue; continue type-specific EDA,0.0,0.0,0.0,2,2.0,False,False,0.0,2,91.76544890598026,
FLAG_DOCUMENT_9,binary_flag,feature,P2_low_variance_review,route_to_binary_flag_eda; low_variance_review_later,binary_flag_eda,near-constant combined distribution,0.0,0.0,0.0,2,2.0,False,False,0.0,2,99.60225119647444,near_constant
FLAG_DOCUMENT_10,binary_flag,feature,P1_stability_review,route_to_binary_flag_eda; also stability_review,binary_flag_eda,constant in test; near-constant combined distribution,0.0,0.0,0.0,2,1.0,False,True,0.0,2,99.99803511529663,constant_test; near_constant
