feature,special_case_type,feature_category,n_unique_train,min_train,max_train,sample_values,recommended_next_action,validation_stage,drop_now
cc_latest_months_balance,cyclical_or_calendar_time,date_duration_numeric,5,-5.0,-1.0,-1.0 | -2.0 | -4.0 | -3.0 | -5.0,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
cc_latest_months_balance_max,cyclical_or_calendar_time,date_duration_numeric,5,-5.0,-1.0,-1.0 | -2.0 | -4.0 | -3.0 | -5.0,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
cc_latest_months_balance_mean,cyclical_or_calendar_time,date_duration_numeric,5,-5.0,-1.0,-1.0 | -2.0 | -4.0 | -3.0 | -5.0,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
cc_latest_months_balance_min,cyclical_or_calendar_time,date_duration_numeric,5,-5.0,-1.0,-1.0 | -2.0 | -4.0 | -3.0 | -5.0,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
cc_latest_months_balance_sum,cyclical_or_calendar_time,date_duration_numeric,7,-8.0,-1.0,-1.0 | -2.0 | -4.0 | -3.0 | -6.0 | -8.0 | -5.0,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
cc_month_count_max,cyclical_or_calendar_time,discrete_count_numeric,96,1.0,96.0,6.0 | 74.0 | 17.0 | 8.0 | 12.0 | 33.0 | 36.0 | 31.0 | 13.0 | 7.0 | 10.0 | 5.0 | 88.0 | 25.0 | 84.0,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
cc_month_count_mean,cyclical_or_calendar_time,discrete_count_numeric,149,1.0,96.0,6.0 | 74.0 | 17.0 | 8.0 | 12.0 | 33.0 | 36.0 | 31.0 | 13.0 | 7.0 | 10.0 | 5.0 | 88.0 | 25.0 | 84.0,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
cc_month_count_sum,cyclical_or_calendar_time,discrete_count_numeric,128,1.0,192.0,6.0 | 74.0 | 17.0 | 8.0 | 12.0 | 33.0 | 36.0 | 31.0 | 13.0 | 7.0 | 10.0 | 5.0 | 88.0 | 25.0 | 84.0,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
cc_month_max,cyclical_or_calendar_time,date_duration_numeric,5,-5.0,-1.0,-1.0 | -2.0 | -4.0 | -3.0 | -5.0,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
cc_month_max_max,cyclical_or_calendar_time,date_duration_numeric,5,-5.0,-1.0,-1.0 | -2.0 | -4.0 | -3.0 | -5.0,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
cc_month_max_mean,cyclical_or_calendar_time,date_duration_numeric,5,-5.0,-1.0,-1.0 | -2.0 | -4.0 | -3.0 | -5.0,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
cc_month_max_min,cyclical_or_calendar_time,date_duration_numeric,5,-5.0,-1.0,-1.0 | -2.0 | -4.0 | -3.0 | -5.0,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
cc_month_max_sum,cyclical_or_calendar_time,date_duration_numeric,7,-8.0,-1.0,-1.0 | -2.0 | -4.0 | -3.0 | -6.0 | -8.0 | -5.0,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
cc_month_mean_max,cyclical_or_calendar_time,date_duration_numeric,108,-50.17977523803711,-1.0,-3.5 | -38.5 | -10.0 | -7.5 | -17.0 | -21.5 | -16.0 | -8.0 | -4.0 | -6.5 | -5.5 | -6.0 | -45.5 | -14.0 | -42.5,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
cc_month_mean_mean,cyclical_or_calendar_time,date_duration_numeric,166,-50.17977523803711,-1.0,-3.5 | -38.5 | -10.0 | -7.5 | -17.0 | -21.5 | -16.0 | -8.0 | -4.0 | -6.5 | -5.5 | -6.0 | -45.5 | -14.0 | -42.5,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
cc_month_mean_min,cyclical_or_calendar_time,date_duration_numeric,110,-50.17977523803711,-1.0,-3.5 | -38.5 | -10.0 | -7.5 | -17.0 | -21.5 | -16.0 | -8.0 | -4.0 | -6.5 | -5.5 | -6.0 | -45.5 | -14.0 | -42.5,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
cc_month_mean_sum,cyclical_or_calendar_time,date_duration_numeric,141,-97.0,-1.0,-3.5 | -38.5 | -10.0 | -7.5 | -17.0 | -21.5 | -16.0 | -8.0 | -4.0 | -6.5 | -5.5 | -6.0 | -45.5 | -14.0 | -42.5,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
cc_month_min,cyclical_or_calendar_time,date_duration_numeric,96,-96.0,-1.0,-6.0 | -75.0 | -18.0 | -11.0 | -13.0 | -33.0 | -39.0 | -31.0 | -14.0 | -7.0 | -9.0 | -8.0 | -89.0 | -26.0 | -84.0,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
cc_month_min_max,cyclical_or_calendar_time,date_duration_numeric,96,-96.0,-1.0,-6.0 | -75.0 | -18.0 | -11.0 | -13.0 | -33.0 | -39.0 | -31.0 | -14.0 | -7.0 | -9.0 | -8.0 | -89.0 | -26.0 | -84.0,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
cc_month_min_mean,cyclical_or_calendar_time,date_duration_numeric,152,-96.0,-1.0,-6.0 | -75.0 | -18.0 | -11.0 | -13.0 | -33.0 | -39.0 | -31.0 | -14.0 | -7.0 | -9.0 | -8.0 | -89.0 | -26.0 | -84.0,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
cc_month_min_min,cyclical_or_calendar_time,date_duration_numeric,96,-96.0,-1.0,-6.0 | -75.0 | -18.0 | -11.0 | -13.0 | -33.0 | -39.0 | -31.0 | -14.0 | -7.0 | -9.0 | -8.0 | -89.0 | -26.0 | -84.0,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
cc_month_min_sum,cyclical_or_calendar_time,date_duration_numeric,128,-192.0,-1.0,-6.0 | -75.0 | -18.0 | -11.0 | -13.0 | -33.0 | -39.0 | -31.0 | -14.0 | -7.0 | -9.0 | -8.0 | -89.0 | -26.0 | -84.0,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
cc_month_record_count_max,cyclical_or_calendar_time,discrete_count_numeric,96,1.0,96.0,6.0 | 74.0 | 17.0 | 8.0 | 12.0 | 33.0 | 36.0 | 31.0 | 13.0 | 7.0 | 10.0 | 5.0 | 88.0 | 25.0 | 84.0,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
cc_month_record_count_mean,cyclical_or_calendar_time,discrete_count_numeric,149,1.0,96.0,6.0 | 74.0 | 17.0 | 8.0 | 12.0 | 33.0 | 36.0 | 31.0 | 13.0 | 7.0 | 10.0 | 5.0 | 88.0 | 25.0 | 84.0,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
cc_month_record_count_sum,cyclical_or_calendar_time,discrete_count_numeric,128,1.0,192.0,6.0 | 74.0 | 17.0 | 8.0 | 12.0 | 33.0 | 36.0 | 31.0 | 13.0 | 7.0 | 10.0 | 5.0 | 88.0 | 25.0 | 84.0,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
cc_month_span_max_x,cyclical_or_calendar_time,date_duration_numeric,96,0.0,95.0,5.0 | 73.0 | 16.0 | 7.0 | 11.0 | 32.0 | 35.0 | 30.0 | 12.0 | 6.0 | 9.0 | 4.0 | 87.0 | 24.0 | 83.0,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
cc_month_span_max_y,cyclical_or_calendar_time,date_duration_numeric,96,0.0,95.0,5.0 | 73.0 | 16.0 | 7.0 | 11.0 | 32.0 | 35.0 | 30.0 | 12.0 | 6.0 | 9.0 | 4.0 | 87.0 | 24.0 | 83.0,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
cc_month_span_mean_x,cyclical_or_calendar_time,date_duration_numeric,149,0.0,95.0,5.0 | 73.0 | 16.0 | 7.0 | 11.0 | 32.0 | 35.0 | 30.0 | 12.0 | 6.0 | 9.0 | 4.0 | 87.0 | 24.0 | 83.0,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
cc_month_span_mean_y,cyclical_or_calendar_time,date_duration_numeric,149,0.0,95.0,5.0 | 73.0 | 16.0 | 7.0 | 11.0 | 32.0 | 35.0 | 30.0 | 12.0 | 6.0 | 9.0 | 4.0 | 87.0 | 24.0 | 83.0,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
cc_month_span_min,cyclical_or_calendar_time,date_duration_numeric,96,0.0,95.0,5.0 | 73.0 | 16.0 | 7.0 | 11.0 | 32.0 | 35.0 | 30.0 | 12.0 | 6.0 | 9.0 | 4.0 | 87.0 | 24.0 | 83.0,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
cc_month_span_sum,cyclical_or_calendar_time,date_duration_numeric,127,0.0,190.0,5.0 | 73.0 | 16.0 | 7.0 | 11.0 | 32.0 | 35.0 | 30.0 | 12.0 | 6.0 | 9.0 | 4.0 | 87.0 | 24.0 | 83.0,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
pos_latest_months_balance,cyclical_or_calendar_time,date_duration_numeric,96,-96.0,-1.0,-1.0 | -18.0 | -24.0 | -2.0 | -25.0 | -10.0 | -5.0 | -69.0 | -22.0 | -12.0 | -4.0 | -6.0 | -7.0 | -43.0 | -16.0,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
pos_month_count_max,cyclical_or_calendar_time,discrete_count_numeric,96,1.0,96.0,19.0 | 12.0 | 4.0 | 10.0 | 18.0 | 55.0 | 13.0 | 11.0 | 45.0 | 23.0 | 25.0 | 20.0 | 8.0 | 7.0 | 15.0,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
pos_month_count_mean,cyclical_or_calendar_time,discrete_count_numeric,1193,1.0,96.0,19.0 | 9.333333 | 4.0 | 7.0 | 13.2 | 20.75 | 8.0 | 11.0 | 37.5 | 15.333333 | 16.75 | 15.5 | 8.333333 | 6.75 | 9.666667,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
pos_month_count_sum,cyclical_or_calendar_time,discrete_count_numeric,227,1.0,295.0,19.0 | 28.0 | 4.0 | 21.0 | 66.0 | 83.0 | 64.0 | 11.0 | 75.0 | 46.0 | 16.0 | 67.0 | 31.0 | 25.0 | 8.0,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
pos_month_max,cyclical_or_calendar_time,date_duration_numeric,96,-96.0,-1.0,-1.0 | -18.0 | -24.0 | -2.0 | -25.0 | -10.0 | -5.0 | -69.0 | -22.0 | -12.0 | -4.0 | -6.0 | -7.0 | -43.0 | -16.0,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
pos_month_min,cyclical_or_calendar_time,date_duration_numeric,96,-96.0,-1.0,-19.0 | -77.0 | -27.0 | -20.0 | -84.0 | -96.0 | -35.0 | -83.0 | -55.0 | -28.0 | -79.0 | -80.0 | -54.0 | -31.0 | -16.0,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
pos_month_record_count_max,cyclical_or_calendar_time,discrete_count_numeric,96,1.0,96.0,19.0 | 12.0 | 4.0 | 10.0 | 18.0 | 55.0 | 13.0 | 11.0 | 45.0 | 23.0 | 25.0 | 20.0 | 8.0 | 7.0 | 15.0,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
pos_month_record_count_mean,cyclical_or_calendar_time,discrete_count_numeric,1193,1.0,96.0,19.0 | 9.333333 | 4.0 | 7.0 | 13.2 | 20.75 | 8.0 | 11.0 | 37.5 | 15.333333 | 16.75 | 15.5 | 8.333333 | 6.75 | 9.666667,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
pos_month_record_count_sum,cyclical_or_calendar_time,discrete_count_numeric,227,1.0,295.0,19.0 | 28.0 | 4.0 | 21.0 | 66.0 | 83.0 | 64.0 | 11.0 | 75.0 | 46.0 | 16.0 | 67.0 | 31.0 | 25.0 | 8.0,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
pos_month_span_max,cyclical_or_calendar_time,date_duration_numeric,96,0.0,95.0,18.0 | 11.0 | 3.0 | 9.0 | 17.0 | 54.0 | 12.0 | 10.0 | 44.0 | 22.0 | 24.0 | 19.0 | 7.0 | 6.0 | 14.0,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
pos_month_span_mean,cyclical_or_calendar_time,date_duration_numeric,1191,0.0,95.0,18.0 | 8.333333 | 3.0 | 6.0 | 12.2 | 19.75 | 7.0 | 10.0 | 36.5 | 14.333333 | 15.75 | 14.5 | 7.3333335 | 5.75 | 8.666667,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
prev_latest_hour_process,cyclical_or_calendar_time,cyclical_time,24,0.0,23.0,9.0 | 12.0 | 5.0 | 15.0 | 11.0 | 18.0 | 17.0 | 16.0 | 13.0 | 14.0 | 8.0 | 10.0 | 6.0 | 19.0 | 7.0,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
