feature,feature_category,model_feature_role,universal_role,universal_dtype_train,universal_dtype_test,universal_missing_pct_train,universal_missing_pct_test,universal_missing_gap_pct,universal_n_unique_train,universal_n_unique_test,universal_basic_review_flag,universal_basic_review_reason,numeric_numeric_family,numeric_missing_band,numeric_skew_band,numeric_zero_band,numeric_outlier_band,numeric_section_review_flag,numeric_section_review_reason,binary_categorical_family,binary_missing_pct_train,binary_n_unique_train,binary_zero_pct_train,binary_one_pct_train,binary_one_pct_gap,binary_constant_train,binary_constant_test,cat_binary_categorical_family,cat_binary_missing_pct_train,cat_binary_n_unique_train,cat_binary_top_category_train,cat_binary_top_category_pct_train,cat_binary_minority_category_pct_train,cat_binary_test_only_category_count,nominal_categorical_family,nominal_missing_pct_train,nominal_n_unique_train,nominal_top_category_pct_train,nominal_rare_lt_1_mass_pct,nominal_category_overlap_pct,nominal_jensen_shannon_distance,ordinal_categorical_family,ordinal_missing_pct_train,ordinal_n_unique_train,ordinal_all_levels_numeric_like,ordinal_top_level_pct_train,ordinal_level_overlap_pct,ordinal_jensen_shannon_distance,special_case_type,special_case_reason,special_next_action,special_validation_stage,univariate_status,drop_now,next_stage
CODE_GENDER,categorical_nominal,candidate_predictor,feature,category,category,0.0,0.0,0.0,3,2.0,False,,,,,,,,,,,,,,,,,,,,,,,,nominal,0.0,3.0,65.83439291602576,0.0013007664766463637,66.66666666666666,0.009267260453803789,,,,,,,,sentinel_or_special_label | special_categorical_label,placeholder_or_special_value_candidate | unknown_or_special_category_candidate,handle_as_special_value_candidate_later | unknown_safe_or_special_label_encoding_candidate_later,feature_engineering,special_case_review,no,relationship_analysis
COMMONAREA_AVG,property_normalized_numeric,candidate_predictor,feature,float32,float32,69.87229725115525,68.71614967996061,1.1561475711946372,3181,2042.0,False,,continuous,very_high,extreme,low,high,True,high_missing; extreme_skew;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,numeric_review_candidate,no,relationship_analysis
COMMONAREA_MEDI,property_normalized_numeric,candidate_predictor,feature,float32,float32,69.87229725115525,68.71614967996061,1.1561475711946372,3202,2034.0,False,,continuous,very_high,extreme,low,high,True,high_missing; extreme_skew;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,numeric_review_candidate,no,relationship_analysis
COMMONAREA_MODE,property_normalized_numeric,candidate_predictor,feature,float32,float32,69.87229725115525,68.71614967996061,1.1561475711946372,3128,2001.0,False,,continuous,very_high,extreme,low,high,True,high_missing; extreme_skew;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,numeric_review_candidate,no,relationship_analysis
DAYS_BIRTH,date_duration_numeric,candidate_predictor,feature,int16,int16,0.0,0.0,0.0,17460,15477.0,False,,date_duration,none,low,none,low,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,standard_univariate_profile,no,relationship_analysis
DAYS_EMPLOYED,date_duration_numeric,candidate_predictor,feature,int32,int32,0.0,0.0,0.0,12574,7863.0,False,,date_duration,none,high,low,very_high,True,large_abs_duration_gt_100_years; marker_365243_review;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sentinel_or_special_label,placeholder_or_special_value_candidate,handle_as_special_value_candidate_later,feature_engineering,special_case_review,no,relationship_analysis
DAYS_ID_PUBLISH,date_duration_numeric,candidate_predictor,feature,int16,int16,0.0,0.0,0.0,6168,5880.0,False,,date_duration,none,low,low,low,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,standard_univariate_profile,no,relationship_analysis
DAYS_LAST_PHONE_CHANGE,date_duration_numeric,candidate_predictor,feature,float32,float32,0.00032519161916159093,0.0,0.00032519161916159093,3773,3579.0,False,,date_duration,low,moderate,low,low,True,zero_special_value_review;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,numeric_review_candidate,no,relationship_analysis
DAYS_REGISTRATION,ratio_rate_numeric,candidate_predictor,feature,float32,float32,0.0,0.0,0.0,15688,12618.0,False,,ratio_rate,none,moderate,low,low,True,negative_ratio_value;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,numeric_review_candidate,no,relationship_analysis
DEF_30_CNT_SOCIAL_CIRCLE,discrete_count_numeric,candidate_predictor,feature,float32,float32,0.3320206431639844,0.05949450188741178,0.2725261412765726,10,8.0,False,,discrete_count,low,extreme,extreme,low,True,zero_heavy;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,numeric_review_candidate,no,relationship_analysis
DEF_60_CNT_SOCIAL_CIRCLE,discrete_count_numeric,candidate_predictor,feature,float32,float32,0.3320206431639844,0.05949450188741178,0.2725261412765726,9,7.0,False,,discrete_count,low,extreme,extreme,low,True,zero_heavy;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,numeric_review_candidate,no,relationship_analysis
ELEVATORS_AVG,property_normalized_numeric,candidate_predictor,feature,float32,float32,53.29597965601231,51.67610372558674,1.6198759304255645,257,181.0,False,,continuous,very_high,very_high,high,high,True,high_missing;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,numeric_review_candidate,no,relationship_analysis
ELEVATORS_MEDI,property_normalized_numeric,candidate_predictor,feature,float32,float32,53.29597965601231,51.67610372558674,1.6198759304255645,46,43.0,False,,continuous,very_high,very_high,high,high,True,high_missing;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,numeric_review_candidate,no,relationship_analysis
ELEVATORS_MODE,property_normalized_numeric,candidate_predictor,feature,float32,float32,53.29597965601231,51.67610372558674,1.6198759304255645,26,26.0,False,,continuous,very_high,very_high,high,high,True,high_missing;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,numeric_review_candidate,no,relationship_analysis
EMERGENCYSTATE_MODE,categorical_binary,candidate_predictor,feature,category,category,47.39830445089769,45.56253077301822,1.835773677879473,2,2.0,False,,,,,,,,,,,,,,,,,categorical_binary,47.39830445089769,2.0,No,98.560795271891,1.4392047281090037,0.0,,,,,,,,,,,,,,,,,,,standard_univariate_profile,no,relationship_analysis
ENTRANCES_AVG,property_normalized_numeric,candidate_predictor,feature,float32,float32,50.3487680115508,48.373133103561464,1.9756349079893383,285,200.0,False,,continuous,very_high,very_high,low,moderate,True,high_missing;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,numeric_review_candidate,no,relationship_analysis
ENTRANCES_MEDI,property_normalized_numeric,candidate_predictor,feature,float32,float32,50.3487680115508,48.373133103561464,1.9756349079893383,46,43.0,False,,continuous,very_high,very_high,low,moderate,True,high_missing;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,numeric_review_candidate,no,relationship_analysis
ENTRANCES_MODE,property_normalized_numeric,candidate_predictor,feature,float32,float32,50.3487680115508,48.373133103561464,1.9756349079893383,30,30.0,False,,continuous,very_high,very_high,low,moderate,True,high_missing;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,numeric_review_candidate,no,relationship_analysis
EXT_SOURCE_1,score_index_numeric,candidate_predictor,feature,float32,float32,56.381072546998325,42.12210733628755,14.258965210710777,114584,27207.0,False,,continuous,very_high,low,none,low,True,high_missing;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,external_score,external_credit_score_style_feature,keep_as_strong_candidate_and_validate_missingness_signal,bivariate_and_modeling,special_case_review,no,relationship_analysis
EXT_SOURCE_2,score_index_numeric,candidate_predictor,feature,float32,float32,0.21462646864665005,0.016412276382734285,0.19821419226391576,119831,38885.0,False,,continuous,low,moderate,none,low,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,external_score,external_credit_score_style_feature,keep_as_strong_candidate_and_validate_missingness_signal,bivariate_and_modeling,special_case_review,no,relationship_analysis
EXT_SOURCE_3,score_index_numeric,candidate_predictor,feature,float32,float32,19.825307062186393,17.7827014606926,2.0426056014937934,814,702.0,False,,continuous,moderate,low,none,low,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,external_score,external_credit_score_style_feature,keep_as_strong_candidate_and_validate_missingness_signal,bivariate_and_modeling,special_case_review,no,relationship_analysis
FLAG_CONT_MOBILE,binary_flag,candidate_predictor,feature,int8,int8,0.0,0.0,0.0,2,2.0,False,,,,,,,,,binary_flag,0.0,2.0,0.18665998939875322,99.81334001060125,0.026640294667089393,False,False,,,,,,,,,,,,,,,,,,,,,,rare_or_near_constant_binary_flag,near_constant_binary_flag,keep_as_binary_candidate_and_validate_predictive_value_later,bivariate_multivariate_and_modeling,special_case_review,no,relationship_analysis
FLAG_DOCUMENT_10,binary_flag,candidate_predictor,feature,int8,int8,0.0,0.0,0.0,2,1.0,True,constant;,,,,,,,,binary_flag,0.0,2.0,99.99772365866588,0.0022763413341311367,0.0022763413341311367,False,True,,,,,,,,,,,,,,,,,,,,,,rare_or_near_constant_binary_flag,test_constant_flag,keep_as_binary_candidate_and_validate_predictive_value_later,bivariate_multivariate_and_modeling,special_case_review,no,relationship_analysis
FLAG_DOCUMENT_11,binary_flag,candidate_predictor,feature,int8,int8,0.0,0.0,0.0,2,2.0,False,,,,,,,,,binary_flag,0.0,2.0,99.60879448214861,0.3912055178513939,0.2742680486244121,False,False,,,,,,,,,,,,,,,,,,,,,,rare_or_near_constant_binary_flag,near_constant_binary_flag,keep_as_binary_candidate_and_validate_predictive_value_later,bivariate_multivariate_and_modeling,special_case_review,no,relationship_analysis
FLAG_DOCUMENT_12,binary_flag,candidate_predictor,feature,int8,int8,0.0,0.0,0.0,2,1.0,True,constant;,,,,,,,,binary_flag,0.0,2.0,99.99934961676168,0.0006503832383231819,0.0006503832383231819,False,True,,,,,,,,,,,,,,,,,,,,,,rare_or_near_constant_binary_flag,test_constant_flag,keep_as_binary_candidate_and_validate_predictive_value_later,bivariate_multivariate_and_modeling,special_case_review,no,relationship_analysis
FLAG_DOCUMENT_13,binary_flag,candidate_predictor,feature,int8,int8,0.0,0.0,0.0,2,1.0,True,constant;,,,,,,,,binary_flag,0.0,2.0,99.64749228482883,0.3525077151711646,0.3525077151711646,False,True,,,,,,,,,,,,,,,,,,,,,,rare_or_near_constant_binary_flag,test_constant_flag,keep_as_binary_candidate_and_validate_predictive_value_later,bivariate_multivariate_and_modeling,special_case_review,no,relationship_analysis
FLAG_DOCUMENT_14,binary_flag,candidate_predictor,feature,int8,int8,0.0,0.0,0.0,2,1.0,True,constant;,,,,,,,,binary_flag,0.0,2.0,99.70635196789709,0.2936480321029166,0.2936480321029166,False,True,,,,,,,,,,,,,,,,,,,,,,rare_or_near_constant_binary_flag,test_constant_flag,keep_as_binary_candidate_and_validate_predictive_value_later,bivariate_multivariate_and_modeling,special_case_review,no,relationship_analysis
FLAG_DOCUMENT_15,binary_flag,candidate_predictor,feature,int8,int8,0.0,0.0,0.0,2,1.0,True,constant;,,,,,,,,binary_flag,0.0,2.0,99.87902871767189,0.12097128232811183,0.12097128232811183,False,True,,,,,,,,,,,,,,,,,,,,,,rare_or_near_constant_binary_flag,test_constant_flag,keep_as_binary_candidate_and_validate_predictive_value_later,bivariate_multivariate_and_modeling,special_case_review,no,relationship_analysis
FLAG_DOCUMENT_16,binary_flag,candidate_predictor,feature,int8,int8,0.0,0.0,0.0,2,1.0,True,constant;,,,,,,,,binary_flag,0.0,2.0,99.00718998669966,0.9928100133003372,0.9928100133003372,False,True,,,,,,,,,,,,,,,,,,,,,,rare_or_near_constant_binary_flag,test_constant_flag,keep_as_binary_candidate_and_validate_predictive_value_later,bivariate_multivariate_and_modeling,special_case_review,no,relationship_analysis
FLAG_DOCUMENT_17,binary_flag,candidate_predictor,feature,int8,int8,0.0,0.0,0.0,2,1.0,True,constant;,,,,,,,,binary_flag,0.0,2.0,99.97333428722875,0.026665712771250457,0.026665712771250457,False,True,,,,,,,,,,,,,,,,,,,,,,rare_or_near_constant_binary_flag,test_constant_flag,keep_as_binary_candidate_and_validate_predictive_value_later,bivariate_multivariate_and_modeling,special_case_review,no,relationship_analysis
FLAG_DOCUMENT_18,binary_flag,candidate_predictor,feature,int8,int8,0.0,0.0,0.0,2,2.0,False,,,,,,,,,binary_flag,0.0,2.0,99.18702095209603,0.8129790479039775,0.6570624222680017,False,False,,,,,,,,,,,,,,,,,,,,,,rare_or_near_constant_binary_flag,near_constant_binary_flag,keep_as_binary_candidate_and_validate_predictive_value_later,bivariate_multivariate_and_modeling,special_case_review,no,relationship_analysis
FLAG_DOCUMENT_19,binary_flag,candidate_predictor,feature,int8,int8,0.0,0.0,0.0,2,1.0,True,constant;,,,,,,,,binary_flag,0.0,2.0,99.94048993369343,0.05951006630657115,0.05951006630657115,False,True,,,,,,,,,,,,,,,,,,,,,,rare_or_near_constant_binary_flag,test_constant_flag,keep_as_binary_candidate_and_validate_predictive_value_later,bivariate_multivariate_and_modeling,special_case_review,no,relationship_analysis
FLAG_DOCUMENT_2,binary_flag,candidate_predictor,feature,int8,int8,0.0,0.0,0.0,2,1.0,True,constant;,,,,,,,,binary_flag,0.0,2.0,99.99577250895089,0.004227491049100683,0.004227491049100683,False,True,,,,,,,,,,,,,,,,,,,,,,rare_or_near_constant_binary_flag,test_constant_flag,keep_as_binary_candidate_and_validate_predictive_value_later,bivariate_multivariate_and_modeling,special_case_review,no,relationship_analysis
FLAG_DOCUMENT_20,binary_flag,candidate_predictor,feature,int8,int8,0.0,0.0,0.0,2,1.0,True,constant;,,,,,,,,binary_flag,0.0,2.0,99.9492701074108,0.05072989258920819,0.05072989258920819,False,True,,,,,,,,,,,,,,,,,,,,,,rare_or_near_constant_binary_flag,test_constant_flag,keep_as_binary_candidate_and_validate_predictive_value_later,bivariate_multivariate_and_modeling,special_case_review,no,relationship_analysis
FLAG_DOCUMENT_21,binary_flag,candidate_predictor,feature,int8,int8,0.0,0.0,0.0,2,1.0,True,constant;,,,,,,,,binary_flag,0.0,2.0,99.96650526322635,0.03349473677364387,0.03349473677364387,False,True,,,,,,,,,,,,,,,,,,,,,,rare_or_near_constant_binary_flag,test_constant_flag,keep_as_binary_candidate_and_validate_predictive_value_later,bivariate_multivariate_and_modeling,special_case_review,no,relationship_analysis
FLAG_DOCUMENT_3,binary_flag,candidate_predictor,feature,int8,int8,0.0,0.0,0.0,2,2.0,False,,,,,,,,,binary_flag,0.0,2.0,28.997661872258227,71.00233812774177,7.659651040155822,False,False,,,,,,,,,,,,,,,,,,,,,,rare_or_near_constant_binary_flag,rare_binary_flag,keep_as_binary_candidate_and_validate_predictive_value_later,bivariate_multivariate_and_modeling,special_case_review,no,relationship_analysis
FLAG_DOCUMENT_4,binary_flag,candidate_predictor,feature,int8,int8,0.0,0.0,0.0,2,2.0,False,,,,,,,,,binary_flag,0.0,2.0,99.99187020952095,0.008129790479039774,0.0021278822601691547,False,False,,,,,,,,,,,,,,,,,,,,,,rare_or_near_constant_binary_flag,almost_constant_binary_flag,keep_as_binary_candidate_and_validate_predictive_value_later,bivariate_multivariate_and_modeling,special_case_review,no,relationship_analysis
FLAG_DOCUMENT_5,binary_flag,candidate_predictor,feature,int8,int8,0.0,0.0,0.0,2,2.0,False,,,,,,,,,binary_flag,0.0,2.0,98.48850935413692,1.5114906458630748,0.03643730596483086,False,False,,,,,,,,,,,,,,,,,,,,,,rare_or_near_constant_binary_flag,rare_binary_flag,keep_as_binary_candidate_and_validate_predictive_value_later,bivariate_multivariate_and_modeling,special_case_review,no,relationship_analysis
FLAG_DOCUMENT_6,binary_flag,candidate_predictor,feature,int8,int8,0.0,0.0,0.0,2,2.0,False,,,,,,,,,binary_flag,0.0,2.0,91.19446133634244,8.80553866365756,0.057795351660184124,False,False,,,,,,,,,,,,,,,,,,,,,,rare_or_near_constant_binary_flag,rare_binary_flag,keep_as_binary_candidate_and_validate_predictive_value_later,bivariate_multivariate_and_modeling,special_case_review,no,relationship_analysis
FLAG_DOCUMENT_7,binary_flag,candidate_predictor,feature,int8,int8,0.0,0.0,0.0,2,2.0,False,,,,,,,,,binary_flag,0.0,2.0,99.98081369446946,0.019186305530533868,0.015083236434850296,False,False,,,,,,,,,,,,,,,,,,,,,,rare_or_near_constant_binary_flag,almost_constant_binary_flag,keep_as_binary_candidate_and_validate_predictive_value_later,bivariate_multivariate_and_modeling,special_case_review,no,relationship_analysis
FLAG_DOCUMENT_8,binary_flag,candidate_predictor,feature,int8,int8,0.0,0.0,0.0,2,2.0,False,,,,,,,,,binary_flag,0.0,2.0,91.86240492210035,8.137595077899652,0.7086218923941274,False,False,,,,,,,,,,,,,,,,,,,,,,rare_or_near_constant_binary_flag,rare_binary_flag,keep_as_binary_candidate_and_validate_predictive_value_later,bivariate_multivariate_and_modeling,special_case_review,no,relationship_analysis
FLAG_DOCUMENT_9,binary_flag,candidate_predictor,feature,int8,int8,0.0,0.0,0.0,2,2.0,False,,,,,,,,,binary_flag,0.0,2.0,99.61042044024441,0.389579559755586,0.05970650622176504,False,False,,,,,,,,,,,,,,,,,,,,,,rare_or_near_constant_binary_flag,near_constant_binary_flag,keep_as_binary_candidate_and_validate_predictive_value_later,bivariate_multivariate_and_modeling,special_case_review,no,relationship_analysis
FLAG_EMAIL,binary_flag,candidate_predictor,feature,int8,int8,0.0,0.0,0.0,2,2.0,False,,,,,,,,,binary_flag,0.0,2.0,94.32800777858354,5.6719922214164695,10.592573673873204,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,standard_univariate_profile,no,relationship_analysis
FLAG_EMP_PHONE,binary_flag,candidate_predictor,feature,int8,int8,0.0,0.0,0.0,2,2.0,False,,,,,,,,,binary_flag,0.0,2.0,18.011063018883878,81.98893698111613,1.0169199123486834,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,standard_univariate_profile,no,relationship_analysis
FLAG_MOBIL,binary_flag,candidate_predictor,feature,int8,int8,0.0,0.0,0.0,2,2.0,False,,,,,,,,,binary_flag,0.0,2.0,0.00032519161916159093,99.99967480838083,0.001726342928677127,False,False,,,,,,,,,,,,,,,,,,,,,,rare_or_near_constant_binary_flag,almost_constant_binary_flag,keep_as_binary_candidate_and_validate_predictive_value_later,bivariate_multivariate_and_modeling,special_case_review,no,relationship_analysis
FLAG_OWN_CAR,categorical_binary,candidate_predictor,feature,category,category,0.0,0.0,0.0,2,2.0,False,,,,,,,,,,,,,,,,,categorical_binary,0.0,2.0,N,65.98918412674668,34.010815873253314,0.0,,,,,,,,,,,,,,,,,,,standard_univariate_profile,no,relationship_analysis
FLAG_OWN_REALTY,categorical_binary,candidate_predictor,feature,category,category,0.0,0.0,0.0,2,2.0,False,,,,,,,,,,,,,,,,,categorical_binary,0.0,2.0,Y,69.3672746665973,30.632725333402703,0.0,,,,,,,,,,,,,,,,,,,standard_univariate_profile,no,relationship_analysis
FLAG_PHONE,binary_flag,candidate_predictor,feature,int8,int8,0.0,0.0,0.0,2,2.0,False,,,,,,,,,binary_flag,0.0,2.0,71.89336316424453,28.106636835755467,1.7936547251367223,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,standard_univariate_profile,no,relationship_analysis
FLAG_WORK_PHONE,binary_flag,candidate_predictor,feature,int8,int8,0.0,0.0,0.0,2,2.0,False,,,,,,,,,binary_flag,0.0,2.0,80.06315221244118,19.93684778755882,0.5333639308065159,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,standard_univariate_profile,no,relationship_analysis
FLOORSMAX_AVG,property_normalized_numeric,candidate_predictor,feature,float32,float32,49.76082156410665,47.84383719021829,1.9169843738883614,403,252.0,False,,continuous,high,high,low,moderate,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,standard_univariate_profile,no,relationship_analysis
FLOORSMAX_MEDI,property_normalized_numeric,candidate_predictor,feature,float32,float32,49.76082156410665,47.84383719021829,1.9169843738883614,49,47.0,False,,continuous,high,high,low,moderate,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,standard_univariate_profile,no,relationship_analysis
FLOORSMAX_MODE,property_normalized_numeric,candidate_predictor,feature,float32,float32,49.76082156410665,47.84383719021829,1.9169843738883614,25,25.0,False,,continuous,high,high,low,moderate,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,standard_univariate_profile,no,relationship_analysis
FLOORSMIN_AVG,property_normalized_numeric,candidate_predictor,feature,float32,float32,67.84862980511267,66.60512063023141,1.243509174881254,305,198.0,False,,continuous,very_high,moderate,low,low,True,high_missing;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,numeric_review_candidate,no,relationship_analysis
