feature,feature_category,model_feature_role,univariate_status,drop_now,next_stage,special_case_type,special_case_reason,special_next_action,special_validation_stage,numeric_section_review_flag,numeric_section_review_reason,universal_basic_review_flag,universal_basic_review_reason
FLAG_DOCUMENT_15,binary_flag,candidate_predictor,special_case_review,no,relationship_analysis,rare_or_near_constant_binary_flag,test_constant_flag,keep_as_binary_candidate_and_validate_predictive_value_later,bivariate_multivariate_and_modeling,,,True,constant;
FLAG_DOCUMENT_16,binary_flag,candidate_predictor,special_case_review,no,relationship_analysis,rare_or_near_constant_binary_flag,test_constant_flag,keep_as_binary_candidate_and_validate_predictive_value_later,bivariate_multivariate_and_modeling,,,True,constant;
FLAG_DOCUMENT_17,binary_flag,candidate_predictor,special_case_review,no,relationship_analysis,rare_or_near_constant_binary_flag,test_constant_flag,keep_as_binary_candidate_and_validate_predictive_value_later,bivariate_multivariate_and_modeling,,,True,constant;
FLAG_DOCUMENT_18,binary_flag,candidate_predictor,special_case_review,no,relationship_analysis,rare_or_near_constant_binary_flag,near_constant_binary_flag,keep_as_binary_candidate_and_validate_predictive_value_later,bivariate_multivariate_and_modeling,,,False,
FLAG_DOCUMENT_19,binary_flag,candidate_predictor,special_case_review,no,relationship_analysis,rare_or_near_constant_binary_flag,test_constant_flag,keep_as_binary_candidate_and_validate_predictive_value_later,bivariate_multivariate_and_modeling,,,True,constant;
FLAG_DOCUMENT_2,binary_flag,candidate_predictor,special_case_review,no,relationship_analysis,rare_or_near_constant_binary_flag,test_constant_flag,keep_as_binary_candidate_and_validate_predictive_value_later,bivariate_multivariate_and_modeling,,,True,constant;
FLAG_DOCUMENT_20,binary_flag,candidate_predictor,special_case_review,no,relationship_analysis,rare_or_near_constant_binary_flag,test_constant_flag,keep_as_binary_candidate_and_validate_predictive_value_later,bivariate_multivariate_and_modeling,,,True,constant;
FLAG_DOCUMENT_21,binary_flag,candidate_predictor,special_case_review,no,relationship_analysis,rare_or_near_constant_binary_flag,test_constant_flag,keep_as_binary_candidate_and_validate_predictive_value_later,bivariate_multivariate_and_modeling,,,True,constant;
FLAG_DOCUMENT_3,binary_flag,candidate_predictor,special_case_review,no,relationship_analysis,rare_or_near_constant_binary_flag,rare_binary_flag,keep_as_binary_candidate_and_validate_predictive_value_later,bivariate_multivariate_and_modeling,,,False,
FLAG_DOCUMENT_4,binary_flag,candidate_predictor,special_case_review,no,relationship_analysis,rare_or_near_constant_binary_flag,almost_constant_binary_flag,keep_as_binary_candidate_and_validate_predictive_value_later,bivariate_multivariate_and_modeling,,,False,
FLAG_DOCUMENT_5,binary_flag,candidate_predictor,special_case_review,no,relationship_analysis,rare_or_near_constant_binary_flag,rare_binary_flag,keep_as_binary_candidate_and_validate_predictive_value_later,bivariate_multivariate_and_modeling,,,False,
FLAG_DOCUMENT_6,binary_flag,candidate_predictor,special_case_review,no,relationship_analysis,rare_or_near_constant_binary_flag,rare_binary_flag,keep_as_binary_candidate_and_validate_predictive_value_later,bivariate_multivariate_and_modeling,,,False,
FLAG_DOCUMENT_7,binary_flag,candidate_predictor,special_case_review,no,relationship_analysis,rare_or_near_constant_binary_flag,almost_constant_binary_flag,keep_as_binary_candidate_and_validate_predictive_value_later,bivariate_multivariate_and_modeling,,,False,
FLAG_DOCUMENT_8,binary_flag,candidate_predictor,special_case_review,no,relationship_analysis,rare_or_near_constant_binary_flag,rare_binary_flag,keep_as_binary_candidate_and_validate_predictive_value_later,bivariate_multivariate_and_modeling,,,False,
FLAG_DOCUMENT_9,binary_flag,candidate_predictor,special_case_review,no,relationship_analysis,rare_or_near_constant_binary_flag,near_constant_binary_flag,keep_as_binary_candidate_and_validate_predictive_value_later,bivariate_multivariate_and_modeling,,,False,
FLAG_EMAIL,binary_flag,candidate_predictor,standard_univariate_profile,no,relationship_analysis,,,,,,,False,
FLAG_EMP_PHONE,binary_flag,candidate_predictor,standard_univariate_profile,no,relationship_analysis,,,,,,,False,
FLAG_MOBIL,binary_flag,candidate_predictor,special_case_review,no,relationship_analysis,rare_or_near_constant_binary_flag,almost_constant_binary_flag,keep_as_binary_candidate_and_validate_predictive_value_later,bivariate_multivariate_and_modeling,,,False,
FLAG_OWN_CAR,categorical_binary,candidate_predictor,standard_univariate_profile,no,relationship_analysis,,,,,,,False,
FLAG_OWN_REALTY,categorical_binary,candidate_predictor,standard_univariate_profile,no,relationship_analysis,,,,,,,False,
FLAG_PHONE,binary_flag,candidate_predictor,standard_univariate_profile,no,relationship_analysis,,,,,,,False,
FLAG_WORK_PHONE,binary_flag,candidate_predictor,standard_univariate_profile,no,relationship_analysis,,,,,,,False,
FLOORSMAX_AVG,property_normalized_numeric,candidate_predictor,standard_univariate_profile,no,relationship_analysis,,,,,False,,False,
FLOORSMAX_MEDI,property_normalized_numeric,candidate_predictor,standard_univariate_profile,no,relationship_analysis,,,,,False,,False,
FLOORSMAX_MODE,property_normalized_numeric,candidate_predictor,standard_univariate_profile,no,relationship_analysis,,,,,False,,False,
FLOORSMIN_AVG,property_normalized_numeric,candidate_predictor,numeric_review_candidate,no,relationship_analysis,,,,,True,high_missing;,False,
FLOORSMIN_MEDI,property_normalized_numeric,candidate_predictor,numeric_review_candidate,no,relationship_analysis,,,,,True,high_missing;,False,
FLOORSMIN_MODE,property_normalized_numeric,candidate_predictor,numeric_review_candidate,no,relationship_analysis,,,,,True,high_missing;,False,
FONDKAPREMONT_MODE,categorical_nominal,candidate_predictor,standard_univariate_profile,no,relationship_analysis,,,,,,,False,
HOUR_APPR_PROCESS_START,cyclical_time,candidate_predictor,special_case_review,no,relationship_analysis,cyclical_or_calendar_time,,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,False,,False,
HOUSETYPE_MODE,categorical_nominal,candidate_predictor,standard_univariate_profile,no,relationship_analysis,,,,,,,False,
LANDAREA_AVG,property_normalized_numeric,candidate_predictor,numeric_review_candidate,no,relationship_analysis,,,,,True,high_missing;,False,
LANDAREA_MEDI,property_normalized_numeric,candidate_predictor,numeric_review_candidate,no,relationship_analysis,,,,,True,high_missing;,False,
LANDAREA_MODE,property_normalized_numeric,candidate_predictor,numeric_review_candidate,no,relationship_analysis,,,,,True,high_missing;,False,
LIVE_CITY_NOT_WORK_CITY,binary_flag,candidate_predictor,standard_univariate_profile,no,relationship_analysis,,,,,,,False,
LIVE_REGION_NOT_WORK_REGION,binary_flag,candidate_predictor,standard_univariate_profile,no,relationship_analysis,,,,,,,False,
LIVINGAPARTMENTS_AVG,property_normalized_numeric,candidate_predictor,numeric_review_candidate,no,relationship_analysis,,,,,True,high_missing;,False,
LIVINGAPARTMENTS_MEDI,property_normalized_numeric,candidate_predictor,numeric_review_candidate,no,relationship_analysis,,,,,True,high_missing;,False,
LIVINGAPARTMENTS_MODE,property_normalized_numeric,candidate_predictor,numeric_review_candidate,no,relationship_analysis,,,,,True,high_missing;,False,
LIVINGAREA_AVG,property_normalized_numeric,candidate_predictor,numeric_review_candidate,no,relationship_analysis,,,,,True,high_missing;,False,
LIVINGAREA_MEDI,property_normalized_numeric,candidate_predictor,numeric_review_candidate,no,relationship_analysis,,,,,True,high_missing;,False,
LIVINGAREA_MODE,property_normalized_numeric,candidate_predictor,numeric_review_candidate,no,relationship_analysis,,,,,True,high_missing;,False,
NAME_CONTRACT_TYPE,categorical_binary,candidate_predictor,standard_univariate_profile,no,relationship_analysis,,,,,,,False,
NAME_EDUCATION_TYPE,categorical_ordinal,candidate_predictor,standard_univariate_profile,no,relationship_analysis,,,,,,,False,
NAME_FAMILY_STATUS,categorical_nominal,candidate_predictor,special_case_review,no,relationship_analysis,sentinel_or_special_label | special_categorical_label,placeholder_or_special_value_candidate | unknown_or_special_category_candidate,handle_as_special_value_candidate_later | unknown_safe_or_special_label_encoding_candidate_later,feature_engineering,,,False,
NAME_HOUSING_TYPE,categorical_nominal,candidate_predictor,standard_univariate_profile,no,relationship_analysis,,,,,,,False,
NAME_INCOME_TYPE,categorical_nominal,candidate_predictor,standard_univariate_profile,no,relationship_analysis,,,,,,,False,
NAME_TYPE_SUITE,categorical_nominal,candidate_predictor,standard_univariate_profile,no,relationship_analysis,,,,,,,False,
NONLIVINGAPARTMENTS_AVG,property_normalized_numeric,candidate_predictor,numeric_review_candidate,no,relationship_analysis,,,,,True,high_missing; extreme_skew; high_outlier_burden;,False,
NONLIVINGAPARTMENTS_MEDI,property_normalized_numeric,candidate_predictor,numeric_review_candidate,no,relationship_analysis,,,,,True,high_missing; extreme_skew; high_outlier_burden;,False,
NONLIVINGAPARTMENTS_MODE,property_normalized_numeric,candidate_predictor,numeric_review_candidate,no,relationship_analysis,,,,,True,high_missing; extreme_skew; high_outlier_burden;,False,
NONLIVINGAREA_AVG,property_normalized_numeric,candidate_predictor,numeric_review_candidate,no,relationship_analysis,,,,,True,high_missing; extreme_skew;,False,
NONLIVINGAREA_MEDI,property_normalized_numeric,candidate_predictor,numeric_review_candidate,no,relationship_analysis,,,,,True,high_missing; extreme_skew;,False,
NONLIVINGAREA_MODE,property_normalized_numeric,candidate_predictor,numeric_review_candidate,no,relationship_analysis,,,,,True,high_missing; extreme_skew;,False,
OBS_30_CNT_SOCIAL_CIRCLE,discrete_count_numeric,candidate_predictor,numeric_review_candidate,no,relationship_analysis,,,,,True,extreme_count_tail;,False,
OBS_60_CNT_SOCIAL_CIRCLE,discrete_count_numeric,candidate_predictor,numeric_review_candidate,no,relationship_analysis,,,,,True,extreme_count_tail;,False,
OCCUPATION_TYPE,categorical_nominal,candidate_predictor,standard_univariate_profile,no,relationship_analysis,,,,,,,False,
ORGANIZATION_TYPE,categorical_nominal,candidate_predictor,special_case_review,no,relationship_analysis,sentinel_or_special_label | special_categorical_label,placeholder_or_special_value_candidate | unknown_or_special_category_candidate,handle_as_special_value_candidate_later | unknown_safe_or_special_label_encoding_candidate_later,feature_engineering,,,False,
OWN_CAR_AGE,date_duration_numeric,candidate_predictor,numeric_review_candidate,no,relationship_analysis,,,,,True,high_missing;,False,
REGION_POPULATION_RELATIVE,ratio_rate_numeric,candidate_predictor,standard_univariate_profile,no,relationship_analysis,,,,,False,,False,
REGION_RATING_CLIENT,categorical_ordinal,candidate_predictor,standard_univariate_profile,no,relationship_analysis,,,,,,,False,
REGION_RATING_CLIENT_W_CITY,categorical_ordinal,candidate_predictor,special_case_review,no,relationship_analysis,sentinel_or_special_label | special_categorical_label,placeholder_or_special_value_candidate | unknown_or_special_category_candidate,handle_as_special_value_candidate_later | unknown_safe_or_special_label_encoding_candidate_later,feature_engineering,,,False,
REG_CITY_NOT_LIVE_CITY,binary_flag,candidate_predictor,standard_univariate_profile,no,relationship_analysis,,,,,,,False,
REG_CITY_NOT_WORK_CITY,binary_flag,candidate_predictor,standard_univariate_profile,no,relationship_analysis,,,,,,,False,
REG_REGION_NOT_LIVE_REGION,binary_flag,candidate_predictor,standard_univariate_profile,no,relationship_analysis,,,,,,,False,
REG_REGION_NOT_WORK_REGION,binary_flag,candidate_predictor,standard_univariate_profile,no,relationship_analysis,,,,,,,False,
SK_ID_CURR,id,identifier,technical_role,exclude_from_model_input,not_applicable_as_predictor,technical_identifier,"unique row identifier, not a model predictor",exclude_from_model_input,feature_engineering,,,False,
TARGET,target,target,technical_role,exclude_from_model_input,not_applicable_as_predictor,target_column,"supervised learning label, not an input feature",use_only_for_target_analysis,bivariate_and_modeling,,,True,dtype_mismatch;
TOTALAREA_MODE,property_normalized_numeric,candidate_predictor,standard_univariate_profile,no,relationship_analysis,,,,,False,,False,
WALLSMATERIAL_MODE,categorical_nominal,candidate_predictor,standard_univariate_profile,no,relationship_analysis,,,,,,,False,
WEEKDAY_APPR_PROCESS_START,cyclical_time,candidate_predictor,special_case_review,no,relationship_analysis,cyclical_or_calendar_time,,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,,,False,
YEARS_BEGINEXPLUATATION_AVG,property_normalized_numeric,candidate_predictor,numeric_review_candidate,no,relationship_analysis,,,,,True,extreme_skew;,False,
YEARS_BEGINEXPLUATATION_MEDI,property_normalized_numeric,candidate_predictor,numeric_review_candidate,no,relationship_analysis,,,,,True,extreme_skew;,False,
YEARS_BEGINEXPLUATATION_MODE,property_normalized_numeric,candidate_predictor,numeric_review_candidate,no,relationship_analysis,,,,,True,extreme_skew;,False,
YEARS_BUILD_AVG,property_normalized_numeric,candidate_predictor,numeric_review_candidate,no,relationship_analysis,,,,,True,high_missing;,False,
YEARS_BUILD_MEDI,property_normalized_numeric,candidate_predictor,numeric_review_candidate,no,relationship_analysis,,,,,True,high_missing;,False,
YEARS_BUILD_MODE,property_normalized_numeric,candidate_predictor,numeric_review_candidate,no,relationship_analysis,,,,,True,high_missing;,False,
bureau_active_annuity_amount_max,continuous_amount_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing; missing_gap_gt_20; extreme_skew;,True,missing_gap_gt_20; extreme_missing;
bureau_active_annuity_amount_mean,continuous_amount_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing; missing_gap_gt_20; extreme_skew;,True,missing_gap_gt_20; extreme_missing;
bureau_active_annuity_amount_sum,continuous_amount_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,extreme_skew;,False,
bureau_active_count,discrete_count_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,False,,False,
bureau_active_credit_amount_max,continuous_amount_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,extreme_skew;,False,
bureau_active_credit_amount_mean,continuous_amount_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,extreme_skew;,False,
bureau_active_credit_amount_sum,continuous_amount_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,extreme_skew;,False,
bureau_active_debt_amount_max,continuous_amount_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,extreme_skew; negative_amount_value;,False,
bureau_active_debt_amount_mean,continuous_amount_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,extreme_skew; negative_amount_value;,False,
bureau_active_debt_amount_sum,continuous_amount_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,extreme_skew; negative_amount_value;,False,
bureau_active_debt_share,ratio_rate_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,negative_ratio_value;,False,
bureau_active_debt_to_credit_ratio,ratio_rate_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,negative_ratio_value; extreme_skew;,False,
bureau_active_limit_amount_max,continuous_amount_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,extreme_skew; negative_amount_value;,False,
bureau_active_limit_amount_mean,continuous_amount_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,extreme_skew; negative_amount_value;,False,
bureau_active_limit_amount_sum,continuous_amount_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,extreme_skew; negative_amount_value;,False,
bureau_active_overdue_amount_max,continuous_amount_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,extreme_skew; zero_heavy;,False,
bureau_active_overdue_amount_mean,continuous_amount_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,extreme_skew; zero_heavy;,False,
bureau_active_overdue_amount_sum,continuous_amount_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,extreme_skew; zero_heavy;,False,
bureau_active_overdue_days_max,overdue_delay_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,has_late_delay_signal; severe_delay_signal; extreme_delay_signal; rare_severe_delay_signal;,False,
bureau_active_overdue_days_mean,overdue_delay_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,has_late_delay_signal; severe_delay_signal; extreme_delay_signal; rare_severe_delay_signal;,False,
bureau_active_overdue_days_sum,overdue_delay_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,has_late_delay_signal; severe_delay_signal; extreme_delay_signal; rare_severe_delay_signal;,False,
bureau_active_ratio,ratio_rate_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,False,,False,
bureau_annuity_amount_max,continuous_amount_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing; missing_gap_gt_20; extreme_skew;,True,missing_gap_gt_20;
bureau_annuity_amount_mean,continuous_amount_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing; missing_gap_gt_20; extreme_skew;,True,missing_gap_gt_20;
bureau_annuity_amount_sum,continuous_amount_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,extreme_skew;,False,
bureau_annuity_to_credit_max,ratio_rate_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,high_missing; missing_gap_gt_20; extreme_skew;,True,missing_gap_gt_20;
